title,pos_text,neg_text,ratingValue,bestRating,hotel
Номер готелю було анонсовано з комфортним двоспальне ліжком ...,Nan,"Номер готелю було анонсовано з комфортним двоспальне ліжком, на справді два одномісні ліжка було закинуто, що мало великі незручності!!! Якщо судити з залишків оволосіння на постільній білизні то остання не змінювалася після попередніх відвідувачів!!! Перебування в номері більше нагадувало перебування в заводській курилці, табличка "" Не курити "" відсутня.",5.4,10.0,artua.uk.html
Круто,"Дуже чисто, комфортно, є всі вигоди Є капсульні кавоварка, що не могло не потішити) ) Смачний сніданок","Ресторан відсутній
Персонал виключно російськомовний",9.2,10.0,mirax-sapphire-boutique-kharkov5.uk.html
"Все було дуже добре, ми залишилися задоволені :)","Все було дуже добре, ми залишилися задоволені :)","Неможливо було набрати ванну, оскільки клапан для злиття води не фіксувався; біля ліжка немає додаткової розетки, окрім як для лампи.",10.0,10.0,mirax-sapphire-boutique-kharkov5.uk.html
Рекомендую,"Дуже чисто, привітний персонал . душова окремо від туалету . вишукано . Великий номер . Смачні сніданки в номер . Є автомашина",Трохи прохолодно в номері на -10'. Але принесли обігрівач),10.0,10.0,mirax-sapphire-boutique-kharkov5.uk.html
"Персонал люб ‘ язаний і уважний, номер завжди чистий з гарним ...","Персонал люб ‘ язаний і уважний, номер завжди чистий з гарним інтер'єром, усе необхідне і заявлене в наявності . Потрібно було Гладилін доску - принесли в номер . Закортіло влаштувати собі у останній день « pot de Part », персонал зробив усе можливе і неможливе . За що величезне Дякую.","Поряд з готелем є ресторанчик . Було б добре, якби готель і ресторан стали партнерами . Замовити вечерю, або обід, вино у номер - додаткова послуга, яка стала б дуже доречною і принесла б додаткові бонуси готелю . У номері не вистачає великого дзеркала (до підлоги) біля вхідних дверей . Взагалі, невеличке дзеркало є лише у ванній кімнаті, що дуже незручно . Шафа у номері не розрахована на жіночі сукні - міді, чоловічі костюмі штани та на верхній одяг . Занадто коротка . Можна у ній повісити лише Рубашкін . Довелось вішати одяг зовні, зачепивши гачки вішали на дверцята шафи . Дуже незручно і руйнує антураж кімнати (якщо зупиняється у готеля на чотири дні, це має неабияке значення), створює відчуття захланності.",10.0,10.0,mirax-sapphire-boutique-kharkov5.uk.html
Комфортне місце для відпочинку,"Відмінний готель . Готель невеликий, розміщений в житловому будинку, але тим не менше дуже приємний, розташований на тихій вулиці, в центрі міста, до найближчої станції метро менше десяти хвилин пішки . В номері приємно знаходитися, чистий, охайний, виконаний в дизайнерському стилі . Всі необхідні дрібнички присутні також - одноразове взуття, халат, душові аксесуари, гребінець, ганчірка для взуття, фен, сейф . Приємно здивувало присутність кавомани в номері . Номер не маленький, комфортного розміру, в номері було два великих вікна, браку світла не відчувалося . Окрім ліжка і шафи в номері також були присутні письмовий стіл, м'яке крісло, міні бар, ТВ . душова кімната світла, чиста, вся сантехніка справна, без зауважень . Сніданок подається в номер, досить все оперативно і швидко . Сніданок був чудовий, розмір порцій більш ніж достатній . Загалом залишилося враження, що готель зроблений з душею, все продумано до кожної дрібнички.","Взагалі не являється недоліком, а скоріш за все побажанням до готелю, добавити додаткове вертикальне дзеркало на виході з номеру.",10.0,10.0,mirax-sapphire-boutique-kharkov5.uk.html
Сподобалось.,"Розташування - тихий центр . привітний персонал . Стильний дизайн . охайний та симпатичний номер, широке ліжко, чистота в санвузла (окремі). Сніданок був врахований в вартість номеру . Замовили сніданок на 8 ранку і його нам принесли в номер о 8 ранку!",Nan,9.6,10.0,mirax-sapphire-boutique-kharkov5.uk.html
"Тихий, затишний, чистий готель ","Тихий, затишний, чистий готель Дуже уважний персонал",-,9.6,10.0,mirax-sapphire-boutique-kharkov5.uk.html
"поламаний телевізор, після 20 хв роботи динамік тв перестає ...",Nan,"поламаний телевізор, після 20 хв роботи динамік тв перестає працювати.",10.0,10.0,mirax-sapphire-boutique-kharkov5.uk.html
"Готель новий, все чисто і охайно.","Готель новий, все чисто і охайно.",Між номерами бракує звукоізоляції.,9.6,10.0,mirax-sapphire-boutique-kharkov5.uk.html
Досить гарний Интерьер (якщо на приглядатися) непогане ...,Досить гарний Интерьер (якщо на приглядатися) непогане розміщення,Сніданок ніякий (,7.9,10.0,mirax-sapphire-boutique-kharkov5.uk.html
Сніданок замовляється на певний час зранку.,Сніданок замовляється на певний час зранку. його приносять у номер.,Сніданок міг бути смачнішим)),8.8,10.0,mirax-sapphire-boutique-kharkov5.uk.html
інтер'єр,інтер'єр,Відсутність теплої води,10.0,10.0,mirax-sapphire-boutique-kharkov5.uk.html
Все доволі добре!,Все доволі добре!!!,В номері холодно. Після сніданку болить живіт - щось було не свіже!!!!,9.6,10.0,mirax-sapphire-boutique-kharkov5.uk.html
Місце розташування.,"Місце розташування. В самому центрі, дуже зручно.","Було доволі брудно в номері . На ліжку було неприємне покривало, якесь липке . Коли ми його зняли, з нього на ліжку залишились якісь Кроха їжі, пластівці . У ванній брудні стіни та крани, в душі погано стікала вода . Ми жили 2,5 доби і у нас за весь час жодного разу не прибирали.",6.5,10.0,asotel.uk.html
Готель і номер відповідають співвідношенню ціни та якості,Загалом непоганий готель недалеко від центру за такі гроші. Дуже приємна дівчина на стійці реєстрації,"Не скажу що в номері брудно, але варто було б провести більше ретельне прибирання чи косметичний ремонт . Особливу увагу слід приділити зливу води в душі, тому що він майже не працює . Не знаю чи це мінус, але вперше стикнувся з необхідністю самому заправляти ковдру в підпільник",9.2,10.0,asotel.uk.html
Очікування були набагато вищими.,Вибирала готель через хороше розташування та номер з терасою. Це не підвело.,"Неочікувано було заплатити немаленькі суму за проживання в готелі та отримати ванну та душ, що протікають, проблеми з теплою водою та подачею води вцілому, посередню чистоту, застелену постіль . Готелю є, куди рости . рекомендувала б цей готель лише тим, кому важливе розташування недалеко від туристичних місць Харкова та не так важливо, де саме переночувати.",5.4,10.0,asotel.uk.html
Місце розташування дуже вигідне.,Місце розташування дуже вигідне.,"У ванні не працював фен . Були трохи брудні килимки . В душі повільно збігала вода . Будівля наче збудована недавно, але вже занехаяні . Ремонт всередині не якісний.",6.3,10.0,asotel.uk.html
"Жах і готель, який здається помирає",Розміщення в зручному місці. І все (,"Готель дуже сильно постарів . Насправді всі чекають, коли він просто не зможе приймати гостей . Був 2 роки назад і це просто негативне здивування . Грибок, видача магнітної карти, де немає магнітного замка . 24 / 7, але будити будете на ресепшені дівчат лише по телефону . Двері, які фактично не закриваються до кінця, від цього ви маєте світло з коридору . направлене ліжко . Взяли простирадла і працюйте о 2 ночі! Рушники в шафі на нижній полиці . Дівчина фізично би не дістала.",4.6,10.0,asotel.uk.html
"перевага готелю - це тиха вуличка, поруч центр, а сам готель не комфортний","Сніданку в готелі не має, розташування гарне, сам готель Отель не дуже гарний, кімнати не зручні ,","сам готель Отель не дуже гарний, кімнати не зручні, ціна зависока",4.6,10.0,asotel.uk.html
Зручне місцерозташування.,"Зручне місцерозташування. Ніяких проблем із поселенням та бронюванням. Для відрядження - гарний варіант. Коли читала попередні відгуки - було страшнувато... Але нічого подібного не побачила, на щастя. Для невибагливого готельного гурмана хороший варіант для 1-2 ночей.",Покращити б прибирання... А в цілому все добре. Вражень більше позитивних.,8.3,10.0,asotel.uk.html
Велика площа номеру.,"Велика площа номеру.
Гарна тераса.
Розташування в центрі міста.
Швидкий заїзд та виїзд.","Погане прибирання номеру, було помітно одразу з заїзду . Стан номеру показує що за меблями та технікою не слідкують . постільна білизна та ванна кімната була із волоссям попередніх відвідувачів . Коли попросили замінити постіль в зв'язку з цим, постіль замінили, просте решта номеру не прибирала.",4.6,10.0,asotel.uk.html
"Можна, якщо не звертати уваги на те чого не повинно бути",Знаходиться майже в центрі,"Тонкі стани між номерами - все чутно у сусідів . ванну кімнату можна краще прибирати - пліснява на кахель - таке враження, що не жилося з дня відкриття . Малі простирадла (двоспальне ліжко) - на думці - і постійно повзали з матроса . намісник у плямах! килимове покриття у номері в специфічних плямах та у якихось листках - погано пилососи",5.8,10.0,asotel.uk.html
"Чистота, привітний персонал, зручне розташування в центрі...","Чистота, привітний персонал, зручне розташування в центрі міста. В цілому, на невеликі гроші - чудове місце.","Мороз на вулиці і було досить прохолодно в номері. Батарей і кондиціонерів нема, так і не розібралися, як обігрівається номер.",10.0,10.0,asotel.uk.html
"Приємний персонал,чудове розташування,після виїзду залишили...","Приємний персонал,чудове розташування,після виїзду залишили речі під наглядом.Дякую)","Рушники бажають бути чистішими і кращої якості, підлога була рудувата, після прибирання в номері - нічого не змінилось, ні рушники ні постіль не змінили.",7.5,10.0,asotel.uk.html
"Біла чиста постіль, кулер з водою в коридорі, дуже приємний...","Біла чиста постіль, кулер з водою в коридорі, дуже приємний персонал.","Брудний номер: пил, запах брудних сосків, плями по підлозі . Рушники брудні і з запахом, навіть для підлоги не підходять . Ванна кімната наче ніколи не призналась . Я навіть зуби там не змогла почистити . Комарів було з десяток, і судячи по плямами на стінах, били іх і до нас гості . штори сірі від пилу . Простіть меньш за Матра, і до ранку спали на голому матраці, бо Простіть просто "" повзає "" . Втекли з готелю на наступний день",5.0,10.0,asotel.uk.html
Розташування готелю.,"Розташування готелю. Неподалік усі необхідні зручності, магазині, культурний центр міста.","Чистота - пил на підвіконнях, сміття на килимі, засміченість труб, не у достатній кількості туалетний папір, не було гелю для душа. Вказано, що є телефон, за номером якого можна звернутися до адміністратора, але апарату в наявності не було.",4.2,10.0,asotel.uk.html
"На одну, дві ночі можно зупинитись.",Розташування готелю по відношенню до центру - відмінно. Приємний персонал.,"Номер дуже маленький, вікно виходило на сторону ресторану і було дуже шумно , а закрити вікно не могли,  в номері душно кондиціонера немає",7.1,10.0,asotel.uk.html
"Чудова розташування  - центр міста, до залізничного вокзалу...","Чудова розташування  - центр міста, до залізничного вокзалу можна доїхати громадським транспортом менше ніж за півгодини. Багато місць поблизу, де можна погуляти та поїсти.","Чистота - великий мінус . За такі гроші звичайно не вимагається кришталеве сяяння, але брудні стіни в душі та подерті постільна білизна це все ж таки трохи занадто а ще в моєму стандартному номері не було кондиціонер . Я потім перевірила, все чесно і це моя неуважність - він не заявляється і в переліку послуг, але це трохи дивно та неприємно, це річ яка є апріорі навіть у хостелах . Особливо коли на вулиці плюс 30, знаходитися в номері дуже неприємно",5.8,10.0,asotel.uk.html
"Брудні шпалери, вода в душі та раковині взагалі не стікала,...","Брудні шпалери, вода в душі та раковині взагалі не стікала, приймати душ гидко, ознаки грибка на стінах, діра в стіні, ліжко чисте, персонал привітний, але власнику необхідно провести хоча б поточний ремонт, а персоналу - ретельніше прибирати ванну кімнату . хотіла переїхати, але не було часу, розташування - в центрі міста - чудове.",Nan,5.8,10.0,asotel.uk.html
Номер теплий.,Номер теплий. Зручне розташування — центр.,"Номер малесенький . Чистота так собі, стіни тонкі (сусідів чути було добре). обурив постійний запах сигаретного диму у коридорі біля дверей номеру, мешканці палять не зважаючи на розклеєні скрізь таблички з забороною паління, а адміністрація зважає на це . Персонал не привітний, що зустрічали в поганому настрої, що проводжали в такому ж, як мінімум для адміністратора то не чемно.",6.3,10.0,asotel.uk.html
дуже добре,Розташування дуже зручне. Персонал дуже ввічливий,Прибирання номера тільки коли попросиш.,7.9,10.0,asotel.uk.html
"Чудова панорама на терасі, дуже просторий номер👍","Чудова панорама на терасі, дуже просторий номер👍",Nan,9.6,10.0,asotel.uk.html
"Найкраще співвідношення ціна-якість, гарне розташування і дуже класний персонал!",Дуже доброзичливий та привітний персонал.,Nan,8.8,10.0,asotel.uk.html
Вид на місто,Вид на місто,"Душ в якому нема напору води не кріпиться, контрастний незрозумілий душ то кип'яток то морозильник, заляпаний палац.",6.7,10.0,asotel.uk.html
Вигляд з вікна.,Вигляд з вікна. Близько до центру,Тонкі стіни. Все чути.,7.9,10.0,asotel.uk.html
Знайомство з м. Харків,Дуже привітний персонал повністю прокоментував за всі потрібні туристу місця.,Звукоізоляція не дуже,8.8,10.0,asotel.uk.html
Чудове місце розташування.,Nan,Чудове місце розташування. Чистий і зручний номер. Рекомендую,10.0,10.0,asotel.uk.html
все сподобалось,все сподобалось,Nan,9.2,10.0,asotel.uk.html
Розташування супер,Розташування супер,Сусіди,9.6,10.0,asotel.uk.html
Добре,Wi-Fi,Звукоізоляція,6.5,10.0,asotel.uk.html
Сподобалось розташування.,Сподобалось розташування. Уважний персонал.,Постільна білизна мала сірий колір. В номері не прибирали за період  проживання в готелі.,7.1,10.0,asotel.uk.html
помешкання розтав,Nan,помешкання розтав,6.7,10.0,asotel.uk.html
Чудове розташування,Чудове розташування,"Якість постільної білизни, та необхідність самостійно заправляти ліжка.",7.5,10.0,asotel.uk.html
Гарне та зручне розташування.,Гарне та зручне розташування.,"В кімнаті холодно та не надто прибрано. Брудно в туалеті. Чути все, що відбувається в сусідніх кімнатах.",5.4,10.0,asotel.uk.html
Домашній затишок.,Домашній затишок. Не далеко від центра.,Nan,10.0,10.0,asotel.uk.html
розчарування,нічого,"було дуже брудно, рушник та підкова в дірках, дуже шумно, немає ніякої звукоізоляції.",3.3,10.0,asotel.uk.html
Гарний персонал і зручне місцерозташування.,Гарний персонал і зручне місцерозташування.,При заселенні була відсутня гаряча вода. А під час повернення у готель вже з'явилася.,7.9,10.0,asotel.uk.html
Гарний готель,Зручне розташування. Доступна ціна.,Nan,8.3,10.0,asotel.uk.html
"Розміщення готелю, а також номер відповідав заявленій якості","Розміщення готелю, а також номер відповідав заявленій якості","Заселення. Зателефонувати і запитали чи можемо ми заїхати після 16. Після того, як відмовились, то дзвінок повторився через декілька хвилин ще раз. Гіпсокартонні стіни.",7.1,10.0,asotel.uk.html
Плюс: розміщення готелю в центрі міста,Плюс: розміщення готелю в центрі міста,"Мінуси: погане прибирання номерів . Коли заселялись, у шафі на полицях пилюка . Загалом ремонт номеру та готелю застарілий та пошарпаний . Ліжко жорстке - поганий Матра . Неприємна, дешева постільна білизна . Коли вмикаєш заряджатися телефон в розетку, вони починають жувати . Враховуючи, що розетки біля ліжка, спати так з одужанням під вухом дуже весело . Прийшлось обирати між здоровим сном та зарядженими девайса для наступного дня . Як і у більшості готелей, фен в номері відсутній через велику ймовірність їх Кра, але в інших готелях кількість фенів відповідає кількості номерів і коли ти просиш фен, тобі його надають . Тут ми попросили ввечері фен, як повертались в номер . Сказали поки немає вільних, будуть зранку . Виходить це їх прокол і зранку, коли ми зателефонували на ресепшн, його мали б занести нам . В результаті сказали спуститись і самим забрати . Прийшлось немитими з спросоння (бо не спускатися ж з мокрою головою з четвертого поверху) йти за феном . Погана звукоізоляція . Можна було хоча б вхідні двері в номер зробити з порогом . А то нижня щілина в 3 см якось зовсім не Ок . Це усе що згадалось неділю потому . Висновок - ніч в цьому готелі зовсім не варта 420 грн . Максимум 250 за такі умови! Тому рекомендувати проживання в даному готелі не можу",5.0,10.0,asotel.uk.html
"Розташування готелю, краєвид, прекрасний великий номер з...","Розташування готелю, краєвид, прекрасний великий номер з усіма зручностями.","Чистота: за ліжком була упаковка від презерватива, в туалеті було накурено, коли ми заселилися. Ліжко без комплекту, ковдра була захована у шафу і не була одягнута у постільну  білизну.",7.5,10.0,asotel.uk.html
Хороший персонал (нам трапилась приємна адміністратора ),Хороший персонал (нам трапилась приємна адміністратора ),"Досить зручне місцерозташування, але готель без GPS-навігатора знайти досить важко. Погана звукоізоляція, прокурений номер. Може бути досить холодно для подорожуючих із дитиною, тому що у готелі відсутні батареї -- обігрівається за рахунок теплої підлоги.",6.3,10.0,asotel.uk.html
горячая вода в кулер в коридоре.,горячая вода в кулер в коридоре.,"Отношение адміністратора, отсутствие парковки (хотя указувалося что она есть), грязные номер, Грязнов ванна комната, отсутствие шумоізоляція (слышно все, что делают соседи).",2.9,10.0,asotel.uk.html
"Можно в номер курить, хорошее расположение.","Можно в номер курить, хорошее расположение.","Во - первых присутствовал холодильник, хотя при бронированные номера его фотография была . Во - вторых, ложь адміністратора, что холодильник не положень, хотя в Перечни оборудования находящегося в номер он был указан . В - третьих, абсолютне неадекватно соседней номер, включаються музыку в 2 часа ночи на полную громко . вырваться не удалось, пока не визволила включить (где - то через час)!",5.8,10.0,asotel.uk.html
- не працював телефон у номері ,Nan,- не працював телефон у номері - відсутній фен - лише гель для тіла (не було шампуню чи мила) - погана звукоізоляція (чути про що говорять у сусідньому номері),4.6,10.0,asotel.uk.html
Платна парковка в готелі!,Nan,Платна парковка в готелі!,7.5,10.0,asotel.uk.html
Стіни дуже тонкі,Nan,Стіни дуже тонкі,7.5,10.0,asotel.uk.html
"Номер погано прибрано: павутиння, волосся.",Nan,"Номер погано прибрано: павутиння, волосся. Навіть дрібні речі від попередніх жильців.",8.3,10.0,asotel.uk.html
Дуже шумно,Дуже шумно,Nan,5.4,10.0,asotel.uk.html
Затишний готель у центрі Харкова,"Затишний отель у центрі Харкова, у тихому дворі, у безпосередній наближеності до всіх центральних локацій і станцій метро. Чудові сніданки у ресторані, великий вибір.",Nan,9.6,10.0,gostinii-dvor.uk.html
Рекомендую готель,"В готелі проживали родиною. Все сподобалося. В кімнатах є все необхідне для комфортного проживання, чисто та затишно. Сніданки чудові. Персонал готелю та ресторану допомогали в вирішенні наших питань. Ресторан Шато при готелі з гарним меню та смачними стравами. Особлива подяка адміністратору ресторану. Рекомендую даний готель.",Такого немає,10.0,10.0,gostinii-dvor.uk.html
Чудовий затишний готель в центрі міста,"Чудове розташування, добрі сніданки, відчували себе, як вдома. Ресторан Шато при готелі відмінний. Смачно і затишно. Чудова адміністратор та офіціанти. Гарно відпочили на вихідні.",Nan,10.0,10.0,gostinii-dvor.uk.html
Гарний готель,"Зручне розташування, чисто, затишно, привітний персонал. Смачні сніданки.","Сніданки розпочинаються о 8:00 та подаються не за принципом шведського столу, а замовленням в офіціанта за меню. Утворюється щось на зразок «години пік», відповідно доводиться чекати, що не зручно, якщо поспішаєш у справах.",9.6,10.0,gostinii-dvor.uk.html
"Рекомендую готель для подорожей до Харкова. Якісний сервіс, інфраструктура та номери.","Дуже якісні та чисті номери . Сніданок був дуже смачним, адже подається в ресторані Шато, який загалом має прекрасну кухню.","Готель, на жаль, надає послуги прасування речей лише за додаткову платню, що в моєму випадку було не зручно адже мені потрібно було по-прасувати футболку що за наявності праски в номері зайняло б 5 хвилин",9.6,10.0,gostinii-dvor.uk.html
рекомендую однозначно,Чудовий вибір сніданків. Смачна кухня. Тихий готель у центрі міста. Уважний персонал.,"Так як мій номер розташований був поруч із рестораном, то у коридорі запахи доволі відчутні.",9.6,10.0,gostinii-dvor.uk.html
"Чудове розташування - цент міста. Чудовий персонал. Все інше - дуже сумнівно, мені не було зручно.","довго очікували на сніданок. Якщо Ви обмежені у часі, краще снідати в кафе у місті.","проживала у номері "" напівлюкс "" . Ліжко - жахливе! матрац - жахливий, подушками років по сто! Як можна пропонувати номер одній людині, якщо ліжко не одне (велике і зручне), а два зсунуті один до одного?! Посередині ліжка спати неможливо, треба пересуватись або на один бік, або на іншій . Таке враження, що просто спиш на одномісному ліжку, до якого приставлено ще одне...Крім того, зовсім не продумана система вимкнення освітлення . дотягнутись до вимикача неможливо, потрібно піднятись із ліжка, а це - кам'яне сторіччя.",6.3,10.0,gostinii-dvor.uk.html
Сподобалось все!,Сподобалось все!! Особлива подяка для дівчат зі зміни 13-14 травня - справжні професіонали! ДУЖЕ ЇМ Дякую! Вони для мене залишились візитною карткою Харківка!,Nan,10.0,10.0,gostinii-dvor.uk.html
Покращений студентський гуртожиток за великі гроші.,Центр міста. Смачний сніданок. Чисто й тепло в номері.,"У душі погано стікає й застоюється вода, як у студентському гуртожитку, а не в 5-зірковому готелі . Фен для волосся являє собою трубу зі слабким напором повітря (дуже примітивний). Косметичний набір дуже дешевий, як у громадських туалетах . Персонал на рецепції доводиться довго чекати . Тут Вашою мовою не розмовляють, а культивують "" рускій мір "" . Не дуже приємні враження.",5.4,10.0,gostinii-dvor.uk.html
"Розташування чудове, дуже милий і привітний персонал.","Розташування чудове, дуже милий і привітний персонал.Приміщення дуже тепле, в кімнаті також тепло і затишно, зручне та велике ліжко. Також, варто зазначити, що знизу готелю є ресторан в якому  проходить сніданок(на високому кулінарному рівні),","Злив душової кабіни працює погано, заповнюється дно водою і треба чекати аби вона зійшла.",9.6,10.0,gostinii-dvor.uk.html
