title,pos_text,neg_text,ratingValue,bestRating,hotel
Адміністратори які ідуть на зустріч з клієнтом за будь яких...,Адміністратори які ідуть на зустріч з клієнтом за будь яких умов,Розташування готелю хотілося б ближче до моря.,8.8,10.0,galian.uk.html
Співвідношення ціна-якість!,Співвідношення ціна-якість!!!,Nan,9.2,10.0,galian.uk.html
Чистий готель.,Чистий готель. Просторий номер та ванна кімната. Тихе місце.,Nan,9.2,10.0,galian.uk.html
"хорошее местоположение отеля, близко ц центру города и ...","хорошее местоположение отеля, близко ц центру города и постановкам транспорта . Отзыв персонал, номер достаточно прилично.",Nan,7.9,10.0,galian.uk.html
Вдруге зупинялися в готелі Siena.,"Вдруге зупинялися в готелі Siena. Чисто, зручно, комфортно, приємний персонал. Розташування в самому центрі міста - найбільший плюс! Як і минулого разу все сподобалося і повністю задоволені, що обрали Siena.",Nan,9.2,10.0,siena.uk.html
"Затишно, чисто, комфортно, потрібно зручнішу назву, щоб знайти","Чудове розташування, дуже зручні та затишні кімнати. Окрема родзинка - широкі підвіконня, на яких можна сидіти та спостерігати за нічної Одесою, центральною вулицею:) Чудове відчуття спокою та затишку разом із участю у нічному житті міста","Важко знайти, в арці на дверях напис просто на аркуші А4 з назвою, персонал навіть після третього телефонного дзвінка зустрічати не вийшов, хоча ми пояснили, що крутись тут поблизу, в тій же арці, довелося запитувати перехожих . Були дуже втомлені після жахливого потягу Ужгород - Одеса з двома дітьми: ((",9.6,10.0,siena.uk.html
"Розташування відмінне: центральна частина міста, поруч...","Розташування відмінне: центральна частина міста, поруч ресторани, кафе, пам ‘ ятки історії та культури . В номері зручне ліжко, є кондиціонер, холодильник, чайник, бойлер.","Вхід з дворика, який складно знайти, відсутність одноразових миючих засобів, відсутність сніданків, кави, чаю, погана шумоізоляція від загального коридору, фотографують документи відвідувачів.",7.5,10.0,siena.uk.html
Відмінна локація- все поруч.,"Відмінна локація- все поруч. Ремонт в кімнаті хороший, санвузол у гарному стані, чисто. Доброзичливий персонал, який готовий допомогти. Безпечне місце, чужий не пройде. Цілодобова стійка ресепшн.","Не комфортне ліжко . Занадто голослівно за вікном, відкрити вікно і спати в спокої не можливо . Але ж треба брати до уваги, що готель в самому центрі . Не вистачає шафи для зберігання речей.",8.3,10.0,siena.uk.html
Siena,"Відпочивали в готелі Siena. Надзвичайно зручне розташування в центрі міста - для нас це був найбільший плюс. Привітний персонал, який порадить куди піти, де поїсти тощо. Гарний, світлий, чистий номер, проживання в якому було дуже комфортним. Все сподобалося👍 Як будемо в Одесі, обов‘язково до Вас!",Nan,10.0,10.0,siena.uk.html
"Чистота, комфорт, відмінне розташування, сучасний дизайн це все про готель Siena","Готель перевершив мої очікування, розташування кращого просто не знайти, персонал відмінний, номер просто супер все абсолютно новеньке та стерильно чисте, класний дизайн, все у світлих тонах, дуже стильно, знаходитись там одне задоволення, обирайте цей готель без вагань, однозначно при можливості буду тут зупинятись ще",Nan,10.0,10.0,siena.uk.html
Гарне розташування + кондиціонер,"Швидкий інтернет, персонал швидко відповідає на Ремейки - дозволили лишити рюкзаки після виселення і заселитися трошки раніше, самий центр, кондиціонер ,","Дуже шумно, вікна на вулицю. Вночі до 2ї не можливо спати. Відсутність стільців, чайник треба було просити, відсутність столових приборів (були тільки 2 малі склянки).",7.9,10.0,siena.uk.html
Відмінне розташування - театр і Приморський Бульвар у 5...,"Відмінне розташування - театр і Приморський Бульвар у 5 хвилинах пішки звідси. Дерибасівська - просто за рогом.
Чисті нові номери. Дуже тихо, не зважаючи на розташування у шумному центрі. Будівля з історією. Чудові давні дерев'яні сходи...",Відсутність вивіски . Замало електричних розеток у номері.,9.6,10.0,siena.uk.html
Зручно і в самому центрі,Зручно і в самому центрі,Nan,10.0,10.0,siena.uk.html
5 з 5,"Центр, зручне розташування, гарні чисті номери.","сходи в помешканні,",9.6,10.0,siena.uk.html
"Ідеальне розташування, чудовий персонал","Ідеальне розташування, чудовий персонал",Nan,10.0,10.0,siena.uk.html
Пролетіло...,Розташування - супер,Звукоізоляція відсутня,9.6,10.0,siena.uk.html
Чудово відпочили.,розміщення . Персонал . затишно.,Nan,10.0,10.0,siena.uk.html
"розташування, затишно, чисто.","розташування, затишно, чисто.",Nan,10.0,10.0,siena.uk.html
уже добр,Nan,Nan,8.3,10.0,siena.uk.html
Немає паркінгу,Nan,Немає паркінгу,9.2,10.0,siena.uk.html
Привітний персонал.,привітний персонал . заселилися набагато раніше . Отель в самому центрі міста.,Не можливо розрахуватись карткою.,10.0,10.0,siena.uk.html
"Просторий номер, чисто та зручно.","Просторий номер, чисто та зручно.
Чудове розташування та хороші зручності за доступну ціну.","У номерах було холодно; поганий брелок для ключа та магніту, внаслідок чого, був втрачений магніт за який довелось заплатити кошти;Телевізор вимкнути за допомогою пульту не зміг; Кава з автомату смачна, але коштувала як у ресторані",6.7,10.0,alex-odessa.uk.html
"Дуже зручне розташування біля вокзалу, що було нам потрібно.","Дуже зручне розташування біля вокзалу, що було нам потрібно. Поруч великий торговий центр. Висока стеля, великі кімнати (в апартаментах), тихий внутрішній двір.",Nan,9.6,10.0,alex-odessa.uk.html
"Затишно було дуже, гарний внутрішній дворик, вікна в підлогу.","Затишно було дуже, гарний внутрішній дворик, вікна в підлогу..)","В номері мало було ти велике ліжко, але во факту це було ніби два окремих ліжка з‘єднаних, тобто по середині була дірка, це було не зручно",10.0,10.0,alex-odessa.uk.html
"Не раджу тим, хто у відрядженні . і взагалі не раджу: гарний сайт, але нажив готель не сподобався.",Nan,"Розташування біля колій потягів. Чула усі повідомлення з залізничного вокзалу. Сніданки за додаткову плату (не замовляла) Не мають звітних документів для тих, хто у відрядженнях. Щоб отримати такі документи витратила час на листування з адміністрацією готелю. Бланк квитанції на оплату теж треба мати з собою.",5.0,10.0,alex-odessa.uk.html
"Для тих,хто хоче побути наодинці😊","Хороший готель, ціна відповідає якості. Готель відповідав очікуванням. Відмінне обслуговування. Закрита територія готелю. Ідеально підійде для подорожуючих, які хочуть відпочити від метушні, побути наодинці. Особлива увага співу двом пташечка.Рекомендую!","Знаходиться в 5 хв від залізничного вокзалу, що є одночасно плюсом та мінусом. Старі та неохайні будівлі поблизу, трохи чутно потяги.",9.6,10.0,alex-odessa.uk.html
Сподобались коти на території готелю.,"Сподобались коти на території готелю. Чутливі та привітні, чого не скажеш про персонал.","Місце розташування . Дуже близько до вокзалу, ніби + але ввечері йти м "" яко кажучи не дуже . Багато безпритульних та сумнівних компаній, як у фільмах про колишню молдован . Персонал ввічливий та уважний лише по телефону та до здійснення оплати за готель . На прохання розповісти як дістатись до того чи іншого місця відповідали односкладові, краще у перехожих спитати, вони в Одесі більш привітні . На питання чому в номері не прибирали уже 5 днів, адміністратор здивовано відповіла, що потрібно ж табличку відповідну було вчепитися . Тільки при заселенні чомусь ніхто про це не сказав, тому заселятись у людини ще й інтуїція повинна бути розвинена . Доставка сніданків, які так рекламують при замовленні номеру в готелі, повне Дулово . овсянка за 60 грн . Ну, в Лондоні це певно була б нормальна ціна . До центру міста добиратись довго . Можна було б і ще дописувати, але досить . На мою думку готель підходить ніч другу переночувати добираючись кудись залізницею, але аж ні як для відпочинку.",3.8,10.0,alex-odessa.uk.html
"охайно, чисто, у ванній не було рибку чи плісняви, відсутні ...","охайно, чисто, у ванній не було рибку чи плісняви, відсутні неприємні запахи . Бачила на території готелю кімнату для йоги / трейдингу . Біля готелю затишний дворик, персонал привітний, йде на поступки з часом виселення.","Недоліки незначні: на спальному ліжку 2 матраци від однодольних (вночі по центру незручно спати: роз ‘ їжджаються матраци); фен є, волосся ви ним висушити, але витягнути чи вкласти волосся не вдасться (дорожній компактний міні фен); район не з найкращих (привокзальна зона, контингент відповідний), але це одночасно і плюс, зручно вийти з готелю і прийти на свій рейс.",7.9,10.0,alex-odessa.uk.html
"Готель розташований біля залізничного вокзалу, що зручно...","Готель розташований біля залізничного вокзалу, що зручно якщо подорожуєте поїздом. Є вказівки як його знайти. Сам готель розташований у дворику, доступ на територію закритий, при поселенні надають ключ від воріт. В номері чисто, є чайник, холодильник, кондиціонер, фен, на наше прохання дали праску. Все було справне, працювало. В 5-10 хвилинах ходьби багато кафе, ресторанів,  де можна поїсти. Персонал привітний.  Можу рекомендувати.","Це скоріше не зауваження, а пропозиція, зробити суцільний матрац.",10.0,10.0,alex-odessa.uk.html
Загалом все добре.,Хороший готель із затишним садом. Приємний персонал. Можна зробити гарні фото.,"Ліжко велике, але матрац не суцільний, складається з двох однодольних . сніданків в готелі нема, але можна поїсти в сусідньому "" адміралів "" . Хоча вкрай не рекомендую цього робити . Кава там ніяка, салати пом'яті і т . п . Тому однозначно - снідати в місті.",8.3,10.0,alex-odessa.uk.html
"Чисто, затишно, позитивний персонал","Окремий дворик, хороше місце розташування, привітний персонал.","Відсутні прибори (виделка, ложка та тарілка) дві прості тарілки і пара приборів було б достатньо і не потрібно б було використовувати одноразові прибори, дещо засмутило з'єднані два одинарні ліжка в одне, замість одного великого, створює трішки дискомфорт.",7.1,10.0,alex-odessa.uk.html
"Сподобалося те, що буквально 5 хвилин ходьби від...","Сподобалося те, що буквально 5 хвилин ходьби від залізничного вокзалу; номер справді відповідав зазначеним картинками на банкінгу, умови були хороші.","Не сподобалося те, що у готелі не було вай - фа, хоча ми про це повідомили адміністрацію, проте дана проблема вирішеною не була; також мінусом було те, що наша кімната була не прибрана: все ліжко, а також душова кабіна була в чоловічому волоссі",5.8,10.0,alex-odessa.uk.html
"Дуже привабливий персонал, зручне місце розташування, гарна ...","Дуже привабливий персонал, зручне місце розташування, гарна територія) Номери чисті, забезпечені всім необхідним для проживання) Враховуючи те, що готель знаходиться недалеко від ЖД вокзалу, шум від поїздів в номері чути не було) Рекомендую, та сама ще повернусь в цей готель) )",Nan,10.0,10.0,alex-odessa.uk.html
Привітний персонал.,"Привітний персонал. Є своя гарна міні територія з столиками. Кімната чиста, простора, є кондиціонер. Тихо, немає сторонніх запахів)","Ліжко складалось з двох однодольних, що не зовсім зручно для пари.",8.3,10.0,alex-odessa.uk.html
"5хв до залізничного вокзалу 
","5хв до залізничного вокзалу 
Номер чистий.
Зручності в номері. Фен.  На прохання - принесли праску.  
Велике вікно з видом на внутрішній двір.",Все сподобалось,10.0,10.0,alex-odessa.uk.html
Загалом нормально. На свою ціну готель хороший,"Ціна-якість - нормально. Персонал привітний, розташування зручне біля залізничного.","Не дуже чисто, грибок в душовій і ковдра в плямах. Хотілось би чистіший номер",7.9,10.0,alex-odessa.uk.html
Чистий і просторий номер.,"Чистий і просторий номер . Чудовий персонал, який і допоможе і піде назустріч . Гарний готель в якому дуже комфортно відпочивати, в номері є все, що потрібно, однозначно рекомендую!!!",Nan,9.6,10.0,alex-odessa.uk.html
Ціна за номер та за таке розташування - це величезний плюс.,"Ціна за номер та за таке розташування - це величезний плюс . Доволі чисті номера . Персонал адекватний, але його по суті застати доволі важко . М'яка постіль, є кондиціонер в номері . Гарний дворик з рослинністю, є де сховатися від одеською спеки . Завдяки розташуванню є стабільне Інтернет покриття 4 G","Готель розташований в середині двору будівлі, в якій є інший готель, при цьому відсутні вказівники на його розташування. Також готель одноповерховий і при вході достатньої охорони немає - забув вікно закрити і все - хороша здобич для крадіїв. Також відсутній свій бар чи кафе (чи хоча б буфет). Номера потребують ремонту - брудні стіни та відбиті кути",6.3,10.0,alex-odessa.uk.html
"В центрі міста, практично поруч з залізничним вокзалом, але...","В центрі міста, практично поруч з залізничним вокзалом, але разом з тим, відокремлено - без виходу вікон на проїжджу частину, готельний зі своїм окремим двориком . раненько",Nan,7.9,10.0,alex-odessa.uk.html
Дуже комфортно та приємна атмосфера .,Дуже комфортно та приємна атмосфера . Добре розташування готеля 😊,Nan,10.0,10.0,alex-odessa.uk.html
"Дуже гарний підвіконня з подушками великий, ставлення ...","Дуже гарний підвіконня з подушками великий, ставлення персоналу до гостей, дуже дружелюбні, вихованні.",Nan,10.0,10.0,alex-odessa.uk.html
приїду ще,"гарне розташування, ненав'язливі, тапочки, фільтр для води, чайник у номері . 9",Nan,7.5,10.0,alex-odessa.uk.html
Місце розташування для мене було вирішальним Ария виборі ...,Місце розташування для мене було вирішальним Ария виборі готелю.,Тріщина на стіні.,7.9,10.0,alex-odessa.uk.html
Зручно і гостинно,"Привітний, доброзичливий персонал. Смачна кава, затишний двір, гарний сад. Зручна транспортна розв'язка.",Оплата готівкою.,10.0,10.0,alex-odessa.uk.html
"Впринципі нормально, недалеко від вокзалу, якщо гуляти ввечері - краще таксі, район тихий та темний.",Красива територія!,Нічний адміністратор - це печаль . 0% Hospitality! На відміну від денних - які готові допомогти та дуже привітні!,6.7,10.0,alex-odessa.uk.html
"Персонал, інтер'єр, чистота, близькість до центру та...","Персонал, інтер'єр, чистота, близькість до центру та вокзалу",Район навколо готелю,9.2,10.0,alex-odessa.uk.html
Холодно!,Nan,Холодно!,7.1,10.0,alex-odessa.uk.html
Було непогано,Сподобалось все.,Прибирання в номері могло бути кращим.,9.2,10.0,alex-odessa.uk.html
"Все сподобалось, привітний персонал, чистота, зелений...","Все сподобалось, привітний персонал, чистота, зелений внутрішня дворик","Один маленький мінус, не було лапок кімнатних",7.5,10.0,alex-odessa.uk.html
