,pos_summary,neg_summary
pokrovsky.uk.html,"['просторий номер' 'місце розташування' 'хороший готель'
 'розташування центрі' 'персонал привітний' 'співвідношення ціна'
 'розташування зручне']","['гарячої води' 'тонкі стіни' 'важко знайти' 'відсутність кондиціонера'
 'телевізор номері' 'запах кімнаті' 'телевізор працював']"
orly-park.uk.html,"['просторий номер' 'готель чудовий' 'чисті номери' 'чисто затишно'
 'гарний сніданок' 'привітний персонал' 'місце розташування']","['важко знайти' 'запах каналізації' 'питної води' 'води номері'
 'поганому стані' 'сніданок би' 'міні барі']"
iq.uk.html,"['акуратний номер' 'затишний готель' 'затишно зручне' 'ліжко чисто'
 'чистий комфортний' 'персонал привітний' 'місце розташування']","['знайти готель' 'вода душі' 'відкрити вікно' 'вхідні двері'
 'відсутність холодильника' 'кондиціонер працював' 'номері душно']"
predslava.uk.html,"['гарне місце' 'чисто затишно' 'станція метро' 'хороший привітний'
 'персонал привітний' 'місце розташування' 'зручне розташування']","['відсутність гарячої' 'брудний номер' 'стіни тонкі' 'затхле запах'
 'ванній кімнаті' 'холодно номері' 'фена номері']"
comfortable-apartment-on-saksahanskoho-59b.uk.html,"['чистий номер' 'холодильник мікрохвильова' 'гарне місце'
 'місце розташування' 'зручне ліжко' 'привітний персонал'
 'зручне розташування']","['номер вікна' 'тонкі стіни' 'ванній кімнаті' '300 грн' 'номері брудно'
 'погана вентиляція' 'неприємний запах']"
pechersk-house.uk.html,"['хвилин метро' 'номер чистий' 'хороша кухня' 'чисто охайно'
 'привітний персонал' 'розташування метро' 'зручне розташування']","['важко знайти' 'гелю душу' 'ванній кімнаті' '15 00' '500 грн'
 'повна відсутність' 'довелося чекати']"
theatre-apart.uk.html,"['номер красивий' 'затишно чисто' 'зручне місце' 'місце розташування'
 'персонал затишний' 'співвідношення ціна' 'розташування зручне']","['питної води' 'ванній кімнаті' 'душова кабіна' 'номер знаходився'
 'залишає бажати' 'неприємний запах' '39 їзді']"
abc-apartments-business-class.uk.html,"['гарний номер' 'чистий затишний' 'зручне місце' 'тихо комфортно'
 'чисто затишно' 'привітний персонал' 'розташування чистота']","['двері номер' 'душова кабіна' 'ванну кімнату' 'відсутність ліфта'
 'слабка шумоізоляція' 'холодно номері' 'номері працював']"
lama-2.uk.html,"['чистий готель' 'хвилин метро' 'чисто затишно' 'затишно комфортно'
 'персонал привітний' 'приємний персонал' 'зручне розташування']","['знайти готель' 'біля дверей' 'відсутність чайника' 'прокурений номер'
 'сусідньому номері' 'погана звукоізоляція' '39 яко']"
mini-otiel-quot-na-lieninghradkie-quot.uk.html,"['номер чистий' 'затишний готель' 'чисто комфортно' 'номері зручне'
 'персонал хороший' 'привітний персонал' 'зручне розташування']","['сусідній кімнаті' 'тонкі стіни' 'номер двоспальне' 'душової кабіни'
 'чутно відбувається' 'холодильника номері' 'запах номері']"
nyvky-plaza-residence.uk.html,"['чистий номер' 'гарні номери' 'новий готель' 'привітний персонал'
 'чисто затишно' 'затишно приємний' 'зручне розташування']","['знайти готель' 'туалетного паперу' 'ванній кімнаті' 'вхідних дверей'
 'іншому номері' 'грн ніч' 'погана шумоізоляція']"
angel-komfort.uk.html,"['затишний номер' 'тепло затишно' 'гарний готель' 'чисті затишні'
 'номері чисто' 'приємний персонал' 'привітний персонал']","['вода душі' 'чути сусідів' 'довелося дзвонити' 'погана шумоізоляція'
 'біля ліжка' 'чутно відбувається' 'єдиний мінус']"
mixed-used-d-omplex-royal-business-city.uk.html,"['просторий номер' 'чиста білизна' 'зручне ліжко' 'гарний готель'
 'чисто затишно' 'привітний персонал' 'зручне розташування']","['гарячої води' 'відсутність чайника' 'туалетного паперу' 'ванній кімнаті'
 'номері чайника' 'номері холодно' 'погана звукоізоляція']"
lego.uk.html,"['гарна ліжко' 'закрита парковка' 'новий готель' 'із задоволенням'
 'чисто комфортно' 'прекрасне місце' 'затишно спокійно']","['вода душі' 'шум дороги' 'неприємний запах' 'вода душі' '39 яні'
 'вода душі' 'незручне розташування']"
royal-grand.uk.html,"['номер красивий' 'зручна ліжко' 'центрі міста' 'місце розташування'
 'розташування готелю' 'привітний персонал' 'розташування шикарне']","['гарячої води' 'ванну кімнату' 'ванній кімнаті' 'неприємний запах'
 'відсутність гарячої' 'холодно номері' 'бажати кращого']"
freedom-kiev.uk.html,"['чистий номер' 'холодильник чайник' 'відмінна ціна' 'чисто затишно'
 'місце розташування' 'привітний персонал' 'лякливий персонал']","['тонкі стіни' 'ванній кімнаті' 'маленька кімната' 'відсутність гарячої'
 'номері брудно' 'неприємний запах' 'чути сусідів']"
hotel-lime.uk.html,"['затишний номер' 'номері тепло' 'чисто затишно' 'хороший готель'
 'чуйний персонал' 'привітний персонал' 'зручне розташування']","['тонкі стіни' 'відсутність фена' 'опалення номері' 'бажати кращого'
 'погана шумоізоляція' '700 грн' 'чути відбувається']"
complex-verhovina.uk.html,"['просторий номер' 'чисто затишно' 'гарне місце' 'гарний вид'
 'привітний персонал' 'співвідношення ціна' 'розташування шикарне']","['вхідні двері' 'ванній кімнаті' 'води душі' 'неможливо спати'
 'номері брудно' 'неприємний запах' 'потребує ремонту']"
independence-mini.uk.html,"['чисто акуратно' 'зручне ліжко' 'номері необхідне' 'ввічливий персонал'
 'персонал супер' 'розташування прямо' 'місцезнаходження відмінне']","['води душі' 'тонкі стіни' 'ванній кімнаті' 'номері холодно' 'біля ліжка'
 'сусідньому номері' 'йде ремонт']"
riviera-on-podol-boutique.uk.html,"['чистий номер' 'готель чудовий' 'чудовий сніданок' 'персонал привітний'
 'чисто затишно' 'номері чисто' 'вищому рівні']","['неможливо спати' 'шум вулиці' 'враження готель' 'погана звукоізоляція'
 'погана звукоізоляція' '39 яко' 'склалося враження']"
radisson-blu.uk.html,"['прекрасний готель' 'сніданок хороший' 'різноманітний сніданок'
 'готель сподобалося' 'просторі номери' 'ввічливий персонал'
 'вдале розташування']",['15 00' 'номер знаходився']
khreschatyk.uk.html,"['чудовий готель' 'чисті номери' 'затишно чисто' 'сніданок хороший'
 'персонал хороший' 'привітний персонал' 'зручне розташування']","['зубної щітки' 'ванній кімнаті' 'запах каналізації' 'номері холодно'
 'вартості номера' 'сильна сутність' 'працював кондиціонер']"
aloft-kiev.uk.html,"['сучасний готель' 'номер смачний' 'зручне ліжко' 'чисті номери'
 'гарний вид' 'привітний персонал' 'зручне розташування']","['вікна відкриваються' 'шум дороги' 'зубної пасти' 'номері погано'
 'відсутність парковки' 'міні барі' 'сусідніх номерах']"
mini-skyhome.uk.html,"['номер чистий' 'зручні меблі' 'чисто затишно' 'гарний вид'
 'персонал чисто' 'привітний персонал' 'місце розташування']","['номер двоспальне' '200 грн' 'ванній кімнаті' 'відсутність кондиціонера'
 'номері холодно' 'шумоізоляція номері' '39 їзді']"
skyhome-goloseevsky.uk.html,"['чистий номер' 'готель приємний' 'чисто затишно' 'привітний ввічливий'
 'привітний персонал' 'розташування зручне' 'співвідношення ціна']","['номер вікна' 'ванній кімнаті' '200 грн' 'повна відсутність'
 'звукоізоляція чути' 'запах каналізації' 'вікна номері']"
complex-druzhba.uk.html,"['комфортний номер' 'сніданки смачні' 'затишно чисто' 'місце розташування'
 'привітний персонал' 'персонал зручне' 'зручне розташування']","['гарячої води' 'відсутність кондиціонера' 'сіток вікнах' 'ліжко скрипить'
 'номері чайника' 'шумно номері' 'погано працює']"
ramada-encore-kiev.uk.html,"['чистий комфортний' 'прекрасний готель' 'зручні номери'
 'хороший сніданок' 'хороший вид' 'привітний персонал'
 'зручне розташування']","['ванній кімнаті' 'ванної кімнати' 'міні бару' 'звукоізоляція погана'
 'запах сигарет' 'номері холодно' 'звернути увагу']"
amarant-urban.uk.html,['номери затишні' 'новий готель'],['вирішити проблему' 'туристичний збір']
comfort.uk.html,"['всі зручності' 'світлий номер' 'комфортного відпочинку' 'чисто затишно'
 'номері чисто' 'привітний персонал' 'місце розташування']","['двері номер' 'важко знайти' 'вода душі' 'ванній кімнаті'
 'кімната маленька' 'сусідньому номері' '39 їзді']"
heart-kiev-apartments.uk.html,"['красивий номер' 'чисто затишно' 'зручне місце' 'номері необхідне'
 'привітний персонал' 'співвідношення ціна' 'розташування шикарне']","['знайти вхід' 'води душі' 'сусідньому номері' 'погана звукоізоляція'
 'біля ліжка' 'чутно відбувається' '39 яні']"
ministerka-lake-house.uk.html,"['гарний готель' 'гарні номери' 'чисто затишно' 'гарний сніданок'
 'персонал смачний' 'привітний персонал' 'розташування зручне']","['двері туалет' 'гарячої води' 'ванній кімнаті' 'вирішити проблему'
 'складно знайти' 'номері брудно' 'працював wi']"
poznyaki.uk.html,"['охайний номер' 'всі зручності' 'кухня номері' 'чисто затишно'
 'гарний затишний' 'привітний персонал' 'зручне розташування']","['важко знайти' 'запах каналізації' 'кімната маленька' 'номері чайника'
 '39 яні' 'цілу ніч' 'працював wi']"
flatrent-smarthouse.uk.html,"['красивий номер' 'номери нові' 'номері чисто' 'чисто затишно'
 'привітний персонал' 'зручне розташування' 'співвідношення ціна']","['тонкі стіни' 'ванній кімнаті' 'пів години' 'маленький номер'
 'погана звукоізоляція' 'чути сусідів' 'відсутня звукоізоляція']"
mini-otel-na-kondratyuka-kiev.uk.html,"['затишний номер' 'чисті номери' 'чисто затишно' 'гарний готель'
 'приємний персонал' 'привітний персонал' 'зручне розташування']","['відкритим вікном' 'ремонтні роботи' 'питної води' 'сніданок 00'
 'ванній кімнаті' 'довелося шукати' 'запах ванній']"
hotel-mir-kiev.uk.html,"['охайний номер' 'номери чисті' 'чисто затишно' 'хороший готель'
 'привітний персонал' 'співвідношення ціна' 'зручне розташування']","['біля ліжка' 'туалетного паперу' 'повна відсутність' 'сильний запах'
 'чайника номері' 'номері холодно' 'кондиціонер працював']"
villa-vita.uk.html,"['затишне місце' 'чисто затишно' 'красива територія' 'смачний сніданок'
 'персонал затишний' 'привітний персонал' 'розташування вдале']","['гарячої води' 'душова кабіна' 'чути шум' 'вхідні двері' 'ванній кімнаті'
 'єдиний мінус' 'звернути увагу']"
the-key.uk.html,"['привітна дівчина' 'непоганий готель' 'готель центрі' 'чисто затишно'
 'чуйний персонал' 'всяких похвал' 'розташування зручне']","['знайти готель' 'важко знайти' 'спати відкритим' 'ванній кімнаті'
 'маленький номер' 'питної води' 'нашому номері']"
krakow.uk.html,"['комфортний номер' 'смачна кухня' 'хороший ресторан' 'хороша ціна'
 'персонал смачна' 'привітний персонал' 'місце розташування']","['номер двоспальне' 'моєму номері' 'шум дороги' 'спальному ліжку'
 'погана шумоізоляція' 'номері брудно' 'міні бару']"
golosievo.uk.html,"['просторий номер' 'хороша кухня' 'хороший готель' 'великі номери'
 'лякливий персонал' 'привітний персонал' 'місце розташування']","['відкритими вікнами' 'запах каналізації' 'ванній кімнаті' 'номері люкс'
 'номері жарко' 'запах номері' 'працював кондиціонер']"
dnd-n-ndod3-4ndud-n.uk.html,"['красивий номер' 'чисті номери' 'чисто затишно' 'розташування вокзалу'
 'привітний персонал' 'персонал зручне' 'місце розташування']","['номер вікна' 'ванній кімнаті' 'відсутність кондиціонера' 'напір води'
 'спати неможливо' 'номері душно' 'номері вікна']"
rozvazhalny-complex-galera.uk.html,"['чудовий номер' 'смачні сніданки' 'місце чисто' 'уважний привітний'
 'привітний персонал' 'смачний сніданок' 'зручне розташування']","['спати неможливо' 'ванній кімнаті' 'пів години' '200 грн' 'біля дверей'
 'неприємний запах' 'запах номері']"
opera.uk.html,"['затишний готель' 'хороший ресторан' 'прекрасні сніданки' 'номери зручні'
 'доброзичливий персонал' 'персонал привітний' 'відмінне розташування']","['тісний номер' 'бажати кращого' 'залишає бажати' 'чутно сусідів'
 'вартість сніданку' 'якість прибирання' 'номері відсутній']"
complex-pans-ka-vtiha.uk.html,"['номер красивий' 'зручне ліжко' 'готелі чисто' 'чисто затишно'
 'красиво чисто' 'привітний персонал' 'зручне розташування']","['відкрити вікно' 'відсутність гарячої' 'тонкі стіни' 'довелося йти'
 'працював телевізор' 'погана звукоізоляція' 'сусідньому номері']"
room-near-the-independence-square.uk.html,"['хвилин метро' 'зручний номер' 'місце розташування' 'персонал привітний'
 'зручності номері' 'дозволили залишити' 'розташування відмінне']","['жодного разу' 'маленький номер' '500 грн' 'маленька кімната'
 'маленькі кімнати' 'погана звукоізоляція' 'працював телевізор']"
bursa-kyiv.uk.html,"['дизайн готелю' 'затишний готель' 'сніданок чудовий' 'сніданки смачні'
 'чисто зручно' 'привітний персонал' 'місце розташування']","['номер вікна' 'приймати душ' '500 грн' 'чайника номері'
 'номері відсутність' 'жахливий запах' 'довелося чекати']"
oberig.uk.html,"['комфортний номер' 'готель чисто' 'хороший сніданок' 'чисто затишно'
 'привітний персонал' 'співвідношення ціни' 'зручне розташування']","['напір води' 'незручні подушки' 'номер двоспальне' 'слабкий напір'
 'довелося спати' 'чайника номері' 'номері холодно']"
city-holiday-resort-amp-spa.uk.html,"['номер комфортний' 'чудовий готель' 'гарні номери' 'хороший сніданок'
 'затишно чисто' 'привітний персонал' 'місце розташування']","['готелю такого' 'погана шумоізоляція' 'маленький телевізор' '21 00'
 'години ночі' 'розеток біля' 'біля ліжка']"
grand-apartments.uk.html,"['просторий номер' 'чисті номери' 'зручне місце' 'чисто затишно'
 'персонал привітний' 'співвідношення ціни' 'зручне розташування']","['жодного разу' 'прийняти душ' 'душовій кабіні' 'зубних щіток'
 'номері холодно' 'брудний номер' 'номері прохолодно']"
westend-kiev.uk.html,"['охайний номер' 'залізничного вокзалу' 'чисто затишно' 'хороший готель'
 'приємний персонал' 'привітний персонал' 'зручне розташування']","['біля ліжка' 'тонкі стіни' 'повна відсутність' 'звукоізоляція номері'
 'хотілось би' 'великий мінус' 'ванній кімнаті']"
hostel-non-stop.uk.html,"['номер хороший' 'залізничного вокзалу' 'місце розташування'
 'чисто затишно' 'привітний персонал' 'співвідношення ціна'
 'зручне розташування']","['спати можливо' 'моєму номері' 'двомісному номері'
 'відсутність кондиціонера' 'кімната маленька' 'запах ванній'
 'погана звукоізоляція']"
city.uk.html,"['просторий номер' 'готель чудовий' 'зручне ліжко' 'хороший сніданок'
 'привітний персонал' 'відмінний вид' 'шикарне розташування']","['ванній кімнаті' 'води душі' 'чути шум' 'сніданок би' 'сусідньому номері'
 'бажати кращого' 'відповідає рівню']"
deluxe.uk.html,"['номер чистий' 'місце розташування' 'центрі міста' 'відмінний готель'
 'приємний персонал' 'персонал привітний' 'зручне розташування']","['неможливо спати' 'гарячої води' 'номер вікна' 'цілу ніч' 'моєму номері'
 'шумоізоляція погана' 'працював кондиціонер']"
dnipro.uk.html,"['номер затишний' 'місце розташування' 'чисто сніданок' 'хороший сніданок'
 'персонал привітний' 'співвідношення ціна' 'розташування зручне']","['ванній кімнаті' 'двері туалет' '500 грн' 'погана звукоізоляція'
 'шумно номері' 'працював кондиціонер' 'номері працював']"
mini-on-kiev-downtown.uk.html,"['номер чистий' 'місце розташування' 'чисто затишно' 'чудовий вид'
 'привітний персонал' 'приємний персонал' 'зручне розташування']","['знайти вхід' 'складно знайти' 'душовій кабіні' 'неприємний запах'
 'погана звукоізоляція' 'чутно відбувається' 'фена номері']"
dizain-otel-road.uk.html,"['новий готель' 'гарний готель' 'чисті номери' 'чисто затишно'
 'гарний дизайн' 'хороший сніданок' 'привітний персонал']","['знайти готель' 'відсутність ліфта' 'маленький номер' 'двері ванну'
 'ванній кімнаті' 'шум дороги' 'відбувається сусідньому']"
skyhome-na-nauky.uk.html,"['новий ремонт' 'затишний номер' 'зручне ліжко' 'чисто затишно'
 'комфортно затишно' 'персонал чисто' 'привітний персонал']","['маленький номер' 'важко знайти' '200 грн' 'вікна номері' 'номері вікон'
 'номері прохолодно' 'кондиціонер працював']"
