,title,pos_text,neg_text,ratingValue,bestRating
5,Сніданок ідеальний! Персонал ввічливий і професіональний! Все дуже сподобалось. Завжди буду зупиняти,Сніданок ідеальний! Персонал ввічливий і професіональний! Все дуже сподобалось. Завжди буду зупинятись в цьому готелі і порекомендую його друзям та колегам.,,10.0,10.0
6,Найкращий готель Одеси 10/10,"Абсолютно все сподобалося. Ідеально чисто, стерильно білі постілі, тиша, сучасний дизайн. Додам важливу річ: ліжка не скриплять:) В подарунок два коктейлі, що було дуже приємно. А на Новий Рік почастували шампанським, як подарунок. Я обожнюю і обов'язково ще приїду в цей готель. Це найкращий мій досвід перебування в готелі в Україні.","Шампунь не піниться:) Потрібно почекати пару хвилин щоб потекла гаряча вода, але це дрібниці, це ж бойлер:) В мене вдома так само. Ще не знайшов губки для взуття, але не запитував, за запитом точно дали б. Зубну щітку і пасту дають.",10.0,10.0
7,Однозначно будемо ще користуватися послугами готелю,"Сніданок дуже смачний, ресторан сподобався також - дуже зручно пообідати чи повечеряти достатньо спуститись вниз. Привітливий, готовий завжди допомогти персонал. Стильні і комфортні номери. Дуже зручне розташування. Потрібно було заселитись з собакою і з цим не виникло жодних проблем","В номері трохи несправно працює вентиляція (саме цей номер в якому перебували останній раз, перед цим ми жили в іншому номері було все в порядку). Після прийому душу увечері і перебування двох людей в номері, на ранок вікна в номері були всі запітнівші і відчувалась недостача повітря.",10.0,10.0
8,Багато вже раз зупинявся в цьому отелі і не перестаю...,"Багато вже раз зупинявся в цьому отелі і не перестаю дивуватися і радіти, що власникам і персоналу вдається тримати свою високу планку і виправдовувати очікування! Все, як завжди, на високому рівні! Було дуже приємно, коли персонал в день заїзду зателефонував і поцікавився, коли сами ми приїджаємо і чи не потрібно мені зарезервувати місце для автомобіля?! Приємний ресторан, відмінні сніданки, ввічливий персонал і... смішна ціна! Дивуюсь, як за такі гроші можна це все утримувати на такому рівні. В Європі - це вартість хостелу.","Нічого суттєвого. Сподіваюсь, що все залишиться як є.",10.0,10.0
9,"1) нас поселили раніше ~ о 12:30
","1) нас поселили раніше ~ о 12:30
2) дуже класний сніданок
3) хороший номер, гарний та стильний 
4) швидкий рум сервіс","1) було дуже багато волосся в душі та в кімнаті 
2) коли прийшли на сніданок всі столи була зайняті брудним посудом, довилось просити офіціанта прибрати, щоб сісти",9.2,10.0
10,Відмінне співвідношення ціни і якості,"Знайшов свій улюблений готель в Одесі! Зупиняюсь в ньому вже багато разів, приємно, що рівень готелю не падає. Чистий, затишний, новий. Все чудово!",Все на відмінно.,10.0,10.0
11,"приємно, що є можливість","комфорним був сон, прохолодно та затишно; гарний сніданок з багатим вибором; чисто, просторий ліфт...і кава - дуже чмачна)",тільки спека) яка від готелю не залежить...,8.3,10.0
12,"Загалом дуже сподобалося, ввічливий та приємний персонал, допомагали при першій потребі","Все надзвичайно гарне, архітектор та дизайнери постарались - витримано один стиль. Сніданок чудовий, великий вибір страв","Трошки, можливо замало місця  навколо ліжка, і хочеться закриту шафу)",8.8,10.0
13,Мені сподобалось,"Сніданок смачний, достатньо фруктів та овочів.  Ліжко комфортне, постіль чиста. Номери затишні, але невеличкі. Меблі та сантехніка якісні та зручні у користуванні. Великий балкон з двома кріслами та столиком, якщо номер з балконом.","Можна змінювати склад сніданків, щоб не все повторювалося, що дня.",7.9,10.0
14,Чудовий готель в центрі міста,"Чудовий готель. Все сподобалось. Були з колегою з Італії, якого приємно здивувало співвідношення ціни до якості. Персонал ввічливий, відповідав на всі наші прохання. Сніданок зі шведським столом задовільняє будь-який смак. Найкращий готель з 20-30, в яких я зупинявся в Одесі за останні 10 років. Дякуємо!",,10.0,10.0
15,дякую працівникам отеля за чудову атмосферу: адміністратори...,дякую працівникам отеля за чудову атмосферу: адміністратори отелю компетентні і ввічливі;  номер просторий та світлий; сніданок смачний та різноманітний. повністю відповідає ціна -якість),,9.2,10.0
16,Гарно але ще треба доопрацювати моменти.,Гарний дизайн. Супер ціна.,"Рекомендації для Вас. Подушки - дуже тверді. Я сам маю готель (Saban Deluxe) і на подушках економити не можно. У Вас такий гарний дизайн, а подушки жах -реально за дві ночі засипав о 05:30 ранку - це не нормально. У ванній кімнаті (якщо не помиляюся 25 номер) поставьте плівку на вікно, бо сусіди все бачуть, що відбувається у душі та туалеті! Кухня - з меню взагалі не було телятини, хоча в меню стейки і тд. вказані.",9.6,10.0
17,Відмінний готель,"Персонал привітний, чистота, хороші сніданки та розташування!",,10.0,10.0
18,"Компактно, чисто, зручно.","Компактно, чисто, зручно. Не було жодних проблем.",Не було зубної щітки,9.6,10.0
19,Дуже крмфортно та по домашньому),"Дуже милий невеличкий готель, в центрі міста, але й не шумно. Приємний персонал, смачні сніданки.",,9.6,10.0
20,Дуже затишні і чисті номери.,Дуже затишні і чисті номери. Ідеальне розташування.,Якщо ви не їсте м`ясо та рибу - вибір на сніданок досить скромний.,9.6,10.0
21,"Надзвичайно ввічиливий персонал, дуже зручно що є кімната...","Надзвичайно ввічиливий персонал, дуже зручно що є кімната для зберігання речей. Найкращі враження, дуже вдячні! Обов‘язково ще приїдемо ще раз)",,10.0,10.0
22,Класний інтер'єр.,Класний інтер'єр. Зручно. Комфортно.,Був дивний запах в кімнаті коли заселялись,9.6,10.0
23,Все було добре,Все було добре,"Туалет був чистим, але чомусь з закритим вікном був присутній запах",10.0,10.0
24,"Привітний персонал, номери чисті","Привітний персонал, номери чисті","Занадто мякий матрас на ліжку, спати було не зручно, провалювалась(",8.3,10.0
25,Excellent place,"Стильний інтер’єр/екстер`єр, дуже чисто, смачний сніданок, ввічливий та привітний персонал.",-,10.0,10.0
26,"Привітний персонал,зручне розташування,відмінна чистота  ","Привітний персонал,зручне розташування,відмінна чистота  Дякую!",,10.0,10.0
27,Обов'язково зупинюсь тут ще! Все дуже сподобалось:),"Все супер! Номер невеликий, але дуже зручний та надзвичайно чистий. Чудовий та дуже ввічливий персонал! І дуже смачний сніданок.",,10.0,10.0
0,Дуже й дуже файний готель!,"Персонал дуже приємний й ввічливий, що в ресторані, що на рецепції. Неймовірно комфортне ліжко, чудовий сніданок, коридори в готелі дуже гарно оздоблені- приємно просто пройтись коридором та сходами.  Особливо порадували смаколики в номері, а також такі дрібниці як листівка, прогноз погоди на час перебування, й хороша анкета в номері, яку зовсім забули заповнити, але питання там були дуже файні. Й взагалі, зупинились у вашому готелі, щоб відсвяткувати День народження на самоті з хлопцем- й зовсім не прогадали, все було на висоті!","Вночі в номері було трохи спекотно, а відкривши вікно для провітрювання, неможливо було заснути через шум з вулиці.",10.0,10.0
1,Чудовий готель.,Чудовий готель. Привітний персонал. Вишуканий інтер‘єр.,,10.0,10.0
2,Чудовий інтер‘єр.,Чудовий інтер‘єр. Привітний персонал. Прекрасні сніданки.,,9.6,10.0
3,"Правду говоря, мы не ожидали, что отель произведет такое...","Правду говоря, мы не ожидали, что отель произведет такое впечатление на нас. Место расположение, здание, интерьер, персонал, обслуживание, ресторан - всё просто супер! Всё очень понравилось! Всем советуем! Персоналу отдельное спасибо) Сотношение ""цена-качество"" приятно удивило! Обязательно выберем этот отель при следующем визите в Одессу!",,10.0,10.0
0,"Все сподобалось, щиро рекомендую","Розташування дуже добре, недалеко центральна алея Аркадія, вихід до моря. Порадували великі панорамні вікна з виглядом на море. Номер чистий, стильний, відпочивати там саме задоволення. Ліжко велике, зручний матрац. Загалом все сподобалось, погода тільки сприяла відпочинку не зважаючи на те що була середина осені",Все сподобалось,10.0,10.0
1,Невеличкий хостел.,"Невеличкий хостел. Тихо, чисто. Гарний сучасний ремонт. Зручні ліжка",Погана шумоізоляція. Нема під’їзду для авто,7.5,10.0
2,Чудова квартира.,Чудова квартира. Є все необхідне. Близько до моря. Вид з вікон просто вражає!,Немає такого.,10.0,10.0
3,"Хороші умови, цікавий дизайн, привітний персонал.","Хороші умови, цікавий дизайн, привітний персонал.",,10.0,10.0
4,"Умови проживання на вищому рівні, все сподобалось, обов!","Умови проживання на вищому рівні, все сподобалось, обов!язково відвідаєм готель при наступному відпочинку. дякуєм.",,10.0,10.0
0,"Приємна атмосфера, затишний готель.","Чудовий сніданок, розташування вул. Дерібасівська, самісенький центр. Якщо не планується відпочинок на морі - найкраще місцерозташування. Зручна постіль, чисто, чудова атмосфера.",,10.0,10.0
1,"Хороше місце розташування, привітний персонал, хороший...","Хороше місце розташування, привітний персонал, хороший ремонт і чистота.","Не всі номери мають вікна, треба уважно читати опис. Сніданок смачний, проте інколи бармен забував вчасно наповнювати бокси з деякими стравами.",10.0,10.0
2,Прекрасний готель !,"Прекрасний готель ! Чистий, стильний і комфортний. Персонал зробить усе, щоб ви почувались затишно. Однозначно рекомендую. Місце розташування - на самій Дерибасівській. Але в номері тихо, тому шум з надвору не надокучатиме.","Для тих, хто подорожує машиною - одразу біля готелю не запаркуєшся, бо це пішохідна зона. Готель 3-ох поверховий без ліфту. Загалом це не створює дискомфорту, але якщо ви з візком, то буде складніше.",9.6,10.0
3,Це найкращий готель і сервіс в якому я відпочивала в Украіні...,"Це найкращий готель і сервіс в якому я відпочивала в Украіні,а сніданки смачні і дуже інстаграмні!Моі найкращі рекомендаціі _місце яке обовязково потрібно відвідати!",,10.0,10.0
4,Затишний готель у центрі м. Одеса,"Дуже гарний готель. Ввічливий персонал, чисте помешкання, красивий інтер'єр. Гарне розташування в центрі міста. Смачні сніданки. Рекомендую цей готель.","Такого не було, все було добре.",10.0,10.0
5,"Чудове місце, щоб зробити перебування в Одесі незабутнім","Номер дуже стильний і гарний! Приємно жити в такому. Персонал також чудовий, реєтрація швидка. Чистота в готелі вражає, також дуже сподобався сніданок в кафе на першому поверсі. Загалом, готель дуууже вразив чистотою і тим, наскільки все виконано бездоганно і зі смаком. Дуже фотогенічно! :) Крім того, неочікуванно було, що хоча вікна й виходять на шумну Дерибасівську, вони дуже хорошої якості, і після того, як ми їх закрили, в номері була повна тиша. Спати тихо і комфортно.","В номері була одна вода на двох, варто ставити дві. Також було б круто, якби був чайник і ще один смітничок під столом.",9.6,10.0
6,Загалом задоволені та рекомендую даний заклад друзям.,"Сніданок був дуже смачним) Чистенька постіль, привітний персонал, персональні халати, чисті рушники та біленькі тапочки. Також великою перевагою закладу була чиста безкоштовна водичка на столі.","1)Деякі розетки не працювали, тому перше здалось, що не працює фен. 2)Якщо заїздити трішки раніше(навіть на годину чи пів), то потрібно доплачувати половину вартості житла. Це дивно.",8.3,10.0
7,Чудовий готель!,"Чудовий готель! Як виявилось, ми були одними з перших відвідувачів Wine&Pillow. Він знаходиться в самому центрі Одеси на пішохідній вулиці Дерибасівській. Навколо багато людей, ресторанів, невеличкий сквер, за рогом оперний театр і потьомкінські сходи. Номер дуже приємний, з сучасними і комфортними меблями. В номері є все потрібне (навіть одноразова пилочка для нігтів!). Ми обрали варіант з континентальним сніданком і не шкодуємо. Все було смачно і дуже приємно. На ресепшині нас зустріли дуже привітні дівчата, зареєстрували і навіть після виселення перевірили чи ми не залишили якісь свої речі. Всім рекомендую даний готель. З радістю повернусь туди, коли буду в Одесі.",,10.0,10.0
8,"Все дуже сподобалось, чудове місцерозташування, привітний...","Все дуже сподобалось, чудове місцерозташування, привітний персонал, номер кращої категорії, як комплімент! Смачний сніданок! Кімната для паління! Надіємось, що ще повернемось!","Було би добре, якщо б у номерах були холодильники. Якщо проживати довший період, то хотілося б більш різноманітного сніданку. Взагальному все супер! Дякуємо!",10.0,10.0
9,"Кімнатна з вікном, яке виходить у коридор.",,"Кімнатна з вікном, яке виходить у коридор.",5.8,10.0
10,Готель в самому серці Одеси,"Місцерозташування, чистота, смачні сніданки, комфортні умови",,10.0,10.0
0,Дуже гарний готель.,"Дуже гарний готель. Все стильно і якісно зроблено. Хочеться відмітити чистоту так як тут вона просто ідеальна. Крім сніданку можна попросити і вечерю, про що ми, нажаль, не знали. Сніданок був смачний і ситний. До пляжу 5хв пішки. Господарі дуже приємні люди.  Дякую вам за таку роботу. Вдячних вам клієнтів! І адекватних ;)",,10.0,10.0
1,обов'язково приїдемо ще!,"Дякую Наташі за такий професійний та щирий прийом!Сніданок чудовий і різноманітний! всі інгрідієнти свіжі та якісні! ми були приємно вражені гарним та чистим посудом, хорошим обслуговуванням! номера ідеально чисті! сміливо рекомендую цей готель для всіх гостей Одеси!",все сподобалося!,10.0,10.0
2,Гарний інтер'єр.,Гарний інтер'єр. Затишно. Смачні сніданки. Нам гарно вирішили паркування авто після пізнього повернення. З помешкання пряма дорога вниз метрів 300 до гарних пляжів.,Важко було знайти по адресу. Прийшлося дзвонити.,9.2,10.0
3,Найкраща відпустка!,"Гості - це найгостинніше місце в Одесі! Домашній затишок, тепло та піклування до дрібниць! Господиня Наталя - надзвичайна жінка! А її компот... Ммм... Це просто неперевершено! Чисто, комфортно, ситно! До моря - рукою подати!  Все на найвищому рівні! Респект і низький уклін! Дякуємо за все! До зустрічі наступного сезону!",Недоліків не помітили! Все на висоті! ;-),10.0,10.0
