,title,pos,neg,ratingValue,bestRating,rate
22,"['Доброго', 'дня', 'всім']","['Доброго', 'дня', 'всім', 'Хочу', 'поділитись', 'своїми', 'враженнями', 'про', 'готель', 'Місце', 'його', 'положення', 'в', 'тихому', 'районі', 'міста', 'що', 'добре', 'коли', 'ти', 'хочеш', 'відпочити', 'від', 'натовпу', 'Сам', 'готель', 'вразив', 'своїм', 'новим', 'надсучасний', 'дизайном', 'коли', 'все', 'продумано', 'до', 'самих', 'дрібниць', 'Персонал', 'дуже', 'привітний', 'і', 'ввічливий', 'Відчув', 'себе', 'ніби', 'як', 'вдома', 'по', 'духу', 'сніданки', 'дуже', 'смачні', 'Рекомендую', 'Приємно', 'також', 'згадала', 'що', 'сама', 'власниця', 'питає', 'про', 'враження', 'гостей', 'від', 'готелю', 'і', 'цікавиться', 'що', 'сподобалось', 'і', 'що', 'не', 'так', 'Хочу', 'щоб', 'цей', 'їх', 'азарт', 'тримався', 'і', 'не', 'зник', 'Дякую', 'за', 'чудові', 'вихідні', 'з', 'Вами']",['Nan'],10.0,10.0,1
23,"['Готель', 'перевершив', 'всі', 'очікування', 'персонал', 'працює', 'на']","['Готель', 'перевершив', 'всі', 'очікування', 'персонал', 'працює', 'на', 'відмінно', 'ми', ""обов'язково"", 'повернемось']",['Nan'],10.0,10.0,1
24,"['Відмінне', 'розташування', 'надзвичайно', 'смачні', 'сніданки', 'та', 'дуже']","['Відмінне', 'розташування', 'надзвичайно', 'смачні', 'сніданки', 'та', 'дуже', 'уважний', 'і', 'ввічливий', 'персонал']",['Nan'],10.0,10.0,1
25,"['Відмінний', 'готель', 'гарне', 'розташування', 'приязний', 'та', 'щирий', 'персонал', ""обов'язково"", 'відвідаю', 'ще']","['Для', 'подорожніх', 'у', 'справах', 'відмінний', 'готель', 'Зручне', 'розташування', 'різноманітні', 'магазини', 'та', 'кафе', 'у', 'зоні', '3', 'хвилин', 'пішої', 'ходи', 'до', 'Дерибасівської', 'та', 'кількох', 'інших', 'визначних', 'місць', 'пішки', 'можна', 'дістатися', 'за', '25-30', 'хвилин']","['Для', 'готелю', 'для', 'пляжного', 'відпочинку', 'від', 'моря', 'задалеко', 'особливо', 'якщо', 'відпочиваєш', 'з', 'дітьми', 'Але', 'якщо', 'діти', 'активні', 'вважайте', 'проблеми', 'немає']",9.6,10.0,1
26,"['Чисто', 'душевно', 'лагідно']","['Вдале', 'розташування', 'поруч', 'з', 'центром', 'та', 'основними', ""пам'ятками"", 'міста', 'заблукати', 'не', 'вдасться', 'Зручно', 'добиратися', 'до', 'моря', 'зупинки', 'транспорту', 'просто', 'поруч', 'Адміністратор', 'дуже', 'приємна', 'та', 'уважна', 'порадила', 'де', 'краще', 'відпочити', 'де', 'підібрати', 'сувеніри', 'Чудова', 'бібліотека', 'на', 'любий', 'смак', 'Мені', 'було', 'по', 'домашньому', 'спокійно', 'та', 'затишно']",['Nan'],10.0,10.0,1
27,"['затишно', 'відпочити', 'після', 'активного', 'дня']","['неочікувано', 'був', 'приємно', 'здивований', 'Розташування', 'старе', 'місто', 'тихий', 'охайний', 'дворик', 'В', 'середені', 'чистота', 'спокій', 'і', 'свіже', 'повітря', ""Інтер'єр"", 'зі', 'своїм', 'стилем', 'Рекомендую', 'для', 'тих', 'в', 'кого', 'пріоритети', 'погуляти', 'подивитися', 'місто', 'екскурсії', 'а', 'на', 'вечір', 'повернутися', 'у', 'затишне', 'помешкання', 'Поруч', 'достатньо', 'продовольчих', 'магазинів', 'кафе']",['Nan'],10.0,10.0,1
28,"['Все', 'просто', 'супер', 'рекомендую']","['Все', 'було', 'просто', 'чудово', 'Господарка', 'дуже', 'доброзичлива', 'і', 'весела', 'Номери', 'чисті', 'і', 'комфортні', 'ліжка', 'просто', 'супер', 'з', 'кожної', 'кімнати', 'є', 'вихід', 'на', 'внутрішній', 'дворик', 'Є', 'все', 'необхідне', 'посуд', 'чайник', 'мікрохвильовка', 'холодильник', 'тостер', 'чай', 'та', 'печиво', 'Також', 'вай', 'Фай', 'настільні', 'ігри', 'книги', 'Теплик', 'іт', 'д', 'Є', 'два', 'душа', 'та', 'два', 'туалети', 'Весь', 'хостел', 'має', 'чудовий', 'Девайн', 'і', 'просто', 'неймовірно', 'класне', 'розташування', 'до', 'будь', 'якої', ""пам'ятки"", 'архітектури', 'відомої', 'центру', 'авто', 'та', 'ЖД', 'вокзалу', 'пішки', 'максимум', '25', 'хв', 'Дуже', 'зручно', 'Ціна', 'нормальна', 'і', 'дуже', 'приємна', 'Рекомендую', 'однозначно', 'і', 'сподіваюся', 'ще', 'туди', 'потраплю']","['Все', 'супер']",10.0,10.0,1
29,"['Чудове', 'співвідношення', 'ціна', 'якість']","['Дуже', 'затишне', 'помешкання', 'яке', 'перевершило', 'наші', 'очікування', 'Ми', 'обрали', 'двомісний', 'номер', 'і', 'були', 'задоволені', 'Душ', 'туалет', 'чисті', 'в', 'кімнаті', 'є', 'персональні', 'рушники', 'Наявна', 'компактна', 'кухня', 'загального', 'користування', 'питна', 'вода', 'чай', 'чайник', 'мікрохвильовка', 'Із', 'залізничного', 'вокзалу', 'дійшли', 'пішки', 'за', '15', 'хвилин', 'до', 'центру', 'теж', 'спокійно', 'можна', 'прогулятися', 'пішки', '10-15', 'хв']",['Nan'],10.0,10.0,1
30,"['зручне', 'розташування', 'комфортний', 'номер', 'чисто', 'недорого']","['зручне', 'розташування', 'комфортний', 'номер', 'чисто', 'недорого']","['Фен', 'ду-у-уже', 'слабенький', 'швидко', 'висушити', 'ним', 'волосся', 'не', 'розраховуйте', 'Тому', 'дівчата', 'для', 'кого', 'ця', 'опція', 'так', 'само', 'важлива', 'рекомендую', 'мати', 'свій']",7.5,10.0,0
31,"['The', 'Experiment']","['дуже', 'чудова', 'локація', 'та', 'затишна', 'атмосфера', 'внутрішнього', 'двора']","['трохи', 'підвальне', 'приміщення', 'це', 'взагалі', 'лише', 'зовнішній', 'нюанс', 'який', 'не', 'впливає', 'ні', 'на', 'що']",10.0,10.0,1
32,['Рекомендую'],"['Проживання', 'було', 'комфортним', 'Господиня', 'привітна', 'кімнати', 'чисті', 'Зручне', 'розташування', 'Все', 'сподобалось']",['Nan'],10.0,10.0,1
33,"['хороше', 'місце', 'хороші', 'умови']","['Чисто', 'акуратно', 'стильно', 'Зроблено', 'для', 'людей']","['шумоізоляція', 'не', 'сам', 'краща', 'плити', 'для', 'готування', 'немає']",9.2,10.0,1
34,"['Апартаменти', 'сподобались']","['Загалом', 'є', 'все', 'необхідне', 'для', 'відпочинку', 'прожиття', 'Район', 'доволі', 'тихий', 'Власниця', 'порадувала', 'нас', 'смаколиками', 'і', 'вином', 'чого', 'не', 'очікували', 'зовсім', 'дуже', 'привітно', 'на', 'будь', 'які', 'зауваження', 'прохання', 'реагувала', 'дуже', 'швидко', 'звукоізоляція', 'хороша', 'нам', 'з', 'малою', 'дитиною', 'це', 'було', 'важливо', 'щоб', 'не', 'заважати', 'сусідам']","['Доступність', 'пляжу', 'до', 'нього', 'потрібно', 'добиратись', 'Хоча', 'це', 'не', 'є', 'мінус', 'адже', 'все', 'одно', 'потрібно', 'десь', 'прогулюватись']",9.2,10.0,1
35,"['Все', 'супер']","['Нам', 'сподобалось', 'абсолютно', 'все', '10', 'Всім', 'рекомендую']",['Nan'],10.0,10.0,1
36,"['Все', 'чудово']","['Все', 'чудово', 'Дуже', 'привітна', 'і', 'тепла', 'атмосфера', 'Наступного', 'разу', 'коли', 'буду', 'в', 'Одесі', ""обов'язково"", 'скористаюся', 'цими', 'апартаментами']",['Nan'],10.0,10.0,1
37,['Чудово'],"['1', 'Сніданок', 'блискучий', '2', 'Номери', 'гарні', '3', 'Дуже', 'чисто', '4', 'привітний', 'персонал', '5', 'Поселили', 'раніше', 'ніж', 'заїзд', 'в', 'готель', 'без', 'додаткової', 'плати', '6', 'Красивий', 'готель']","['1', 'На', 'фото', 'номери', 'істотно', 'більші', '2', 'На', 'сніданку', 'персонал', 'не', 'встигав', 'доставляти', 'їжу', 'столове', 'приладдя', 'що', 'закінчувалося']",9.6,10.0,1
38,"['1', 'Сервіс', 'ідеальний', 'на', 'всі', 'прохання', 'швидко', 'реагували']","['1', 'Сервіс', 'ідеальний', 'на', 'всі', 'прохання', 'швидко', 'реагували', '2', 'Чистота', '3', 'Хороші', 'сніданки', '4', 'Гарний', 'дизайн']","['1', 'Готель', 'потребує', 'косметичного', 'ремонту', 'Рушники', 'вже', 'дуже', 'старі', 'килими', 'заховані', 'стіни', 'забруднені', 'меблі', 'потерті', 'Невеликі', 'вкладення', 'і', 'готель', 'відновить', 'свій', 'вигляд', '2', 'Сильний', 'шум', 'з', 'вулиці', 'навіть', 'із', 'закритими', 'вікнами']",9.2,10.0,1
39,"['Tear', 'else', 'Burda', 'Kalam']","['The', 'Breakfast', 'was', 'very', 'nice', 'The', 'coffee', 'was', 'perfect', 'The', 'location', 'was', 'very', 'good', 'The', 'staff', 'at', 'the', 'Reception', 'Spoken', 'English', 'and', 'were', 'very', 'Help', 'to', 'us', 'The', 'Rooms', 'were', 'the', 'same', 'with', 'the', 'photos', 'The', 'Rooms', 'were', 'clean', 'And', 'everything', 'needed', 'was', 'available', 'in', 'the', 'room', 'If', 'I', 'come', 'back', 'to', 'Odessa', ""''Il"", 'stay', 'here', 'again', 'Сніданок', 'був', 'дуже', 'приємний', 'Кава', 'була', 'ідеальною', 'Розташування', 'було', 'дуже', 'хорошим', 'Персонал', 'на', 'прийомі', 'розмовляв', 'англійською', 'і', 'нам', 'дуже', 'допомагали', 'Кімнати', 'були', 'однакові', 'з', 'фотографіями', 'Кімнати', 'були', 'чисті', 'І', 'все', 'необхідне', 'було', 'доступне', 'в', 'кімнаті', 'Якщо', 'я', 'повернусь', 'до', 'Одеси', 'я', 'знову', 'залишусь', 'тут']","['Ми', 'залишилися', 'в', 'кімнаті', '49', 'віконної', 'завіси', 'у', 'ванній', 'кімнаті', 'не', 'було', 'Це', 'було', 'трохи', 'незручно']",9.2,10.0,1
40,"['Готель', 'надзвичайно', 'хороший']","['Готель', 'надзвичайно', 'хороший', 'Ми', 'приїхали', 'зранку', 'і', 'нам', 'запропонували', 'заселитися', 'раніше', 'без', 'жодних', 'доплат', 'що', 'ми', 'й', 'зробили', 'У', 'номері', 'була', 'комфортна', 'температура', 'завдяки', 'системі', 'кондиціонування', 'повітря', 'система', 'зручна', 'у', 'використанні', 'виставляти', 'та', 'підтримувати', 'необхідну', 'температуру', 'дуже', 'просто', 'У', 'номері', 'дизайнерський', 'ремонт', 'гарні', 'меблі', 'та', 'освітлення', 'Ліжко', 'надзвичайно', 'зручне', 'Постіль', 'чиста', 'і', 'приємна', 'на', 'дотик', 'У', 'номері', 'великий', 'балкон', 'зі', 'зручними', 'кріслами', 'Нова', 'і', 'якісна', 'сантехніка', 'Сніданок', 'шведський', 'стіл', 'вибір', 'хороший', 'їжа', 'смачна', 'Персонал', 'вразив', 'своєю', 'привітністю', 'та', 'уважністю', 'У', 'готелі', 'є', 'кімната', 'схову', 'де', 'можна', 'залишити', 'свої', 'речі', 'після', 'виселення', 'і', 'забрати', 'ввечері', 'Є', 'ліфт', 'і', 'пандуси', 'що', 'робить', 'готель', 'зручним', 'для', 'використання', 'людьми', 'з', 'особливими', 'потребами', 'Гарний', 'бар', 'і', 'кухня', 'які', 'працюють', 'цілодобово', 'смачні', 'коктейлі', 'та', 'Еклер']","['відсунувши', 'столик', 'у', 'номері', 'ми', 'побачили', 'пил', 'шкаралупи', 'від', 'фісташок', 'Було', 'б', 'добре', 'частіше', 'підсовувати', 'столик', 'та', 'прибирати', 'за', 'ним']",9.2,10.0,1
41,['Розташування'],['Розташування'],"['Персонал', 'при', 'поселенні', 'не', 'переходив', 'на', 'Українську', 'мову', 'хоча', 'я', 'звертався', 'Українською', 'Подушки', 'на', 'ліжку', 'не', 'зручні', 'необхідно', 'додати', 'ще', 'по', 'одній']",7.9,10.0,0
42,"['Сніданок', 'ідеальний', 'Персонал', 'ввічливий', 'і', 'професіональний', 'Все', 'дуже', 'сподобалось', 'Завжди', 'буду', 'зупиняти']","['Сніданок', 'ідеальний', 'Персонал', 'ввічливий', 'і', 'професіональний', 'Все', 'дуже', 'сподобалось', 'Завжди', 'буду', 'зупинятись', 'в', 'цьому', 'готелі', 'і', 'порекомендує', 'його', 'друзям', 'та', 'колегам']",['Nan'],10.0,10.0,1
43,"['Найкращий', 'готель', 'Одеси', '10', '10']","['Абсолютно', 'все', 'сподобалося', 'Ідеально', 'чисто', 'стерильно', 'білі', 'пострілі', 'тиша', 'сучасний', 'дизайн', 'Додам', 'важливу', 'річ', 'ліжка', 'не', 'скриплять', 'В', 'подарунок', 'два', 'коктейлі', 'що', 'було', 'дуже', 'приємно', 'А', 'на', 'Новий', 'Рік', 'почастували', 'шампанським', 'як', 'подарунок', 'Я', 'обожнюю', 'і', ""обов'язково"", 'ще', 'приїду', 'в', 'цей', 'готель', 'Це', 'найкращий', 'мій', 'досвід', 'перебування', 'в', 'готелі', 'в', 'Україні']","['Шампунь', 'не', 'піниться', 'Потрібно', 'почекати', 'пару', 'хвилин', 'щоб', 'потекла', 'гаряча', 'вода', 'але', 'це', 'дрібниці', 'це', 'ж', 'бойлер', 'В', 'мене', 'вдома', 'так', 'само', 'Ще', 'не', 'знайшов', 'губки', 'для', 'взуття', 'але', 'не', 'запитував', 'за', 'запитом', 'точно', 'дали', 'б', 'зубну', 'щітку', 'і', 'пасту', 'дають']",10.0,10.0,1
44,"['Однозначно', 'будемо', 'ще', 'користуватися', 'послугами', 'готелю']","['Сніданок', 'дуже', 'смачний', 'ресторан', 'сподобався', 'також', 'дуже', 'зручно', 'пообідати', 'чи', 'повечеряти', 'достатньо', 'спуститись', 'вниз', 'привабливий', 'готовий', 'завжди', 'допомогти', 'персонал', 'Стильні', 'і', 'комфортні', 'номери', 'Дуже', 'зручне', 'розташування', 'Потрібно', 'було', 'заселитися', 'з', 'собакою', 'і', 'з', 'цим', 'не', 'виникло', 'жодних', 'проблем']","['В', 'номері', 'трохи', 'несправною', 'працює', 'вентиляція', 'саме', 'цей', 'номер', 'в', 'якому', 'перебували', 'останній', 'раз', 'перед', 'цим', 'ми', 'жили', 'в', 'іншому', 'номері', 'було', 'все', 'в', 'порядку', 'Після', 'прийому', 'душу', 'увечері', 'і', 'перебування', 'двох', 'людей', 'в', 'номері', 'на', 'ранок', 'вікна', 'в', 'номері', 'були', 'всі', 'запізнілі', 'і', 'відчувалась', 'недостача', 'повітря']",10.0,10.0,1
45,"['Багато', 'вже', 'раз', 'зупинявся', 'в', 'цьому', 'готелі', 'і', 'не', 'перестаю']","['Багато', 'вже', 'раз', 'зупинявся', 'в', 'цьому', 'готелі', 'і', 'не', 'перестаю', 'дивуватися', 'і', 'радіти', 'що', 'власникам', 'і', 'персоналу', 'вдається', 'тримати', 'свою', 'високу', 'планку', 'і', 'виправдовувати', 'очікування', 'Все', 'як', 'завжди', 'на', 'високому', 'рівні', 'Було', 'дуже', 'приємно', 'коли', 'персонал', 'в', 'день', 'заїзду', 'зателефонував', 'і', 'поцікавився', 'коли', 'сами', 'ми', 'приїжджаємо', 'і', 'чи', 'не', 'потрібно', 'мені', 'зарезервувати', 'місце', 'для', 'автомобіля', 'Приємний', 'ресторан', 'відмінні', 'сніданки', 'ввічливий', 'персонал', 'і', 'смішна', 'ціна', 'Дивуюсь', 'як', 'за', 'такі', 'гроші', 'можна', 'це', 'все', 'утримувати', 'на', 'такому', 'рівні', 'В', 'Європі', 'це', 'вартість', 'хостелу']","['Нічого', 'суттєвого', 'Сподіваюсь', 'що', 'все', 'залишиться', 'як', 'є']",10.0,10.0,1
46,"['1', 'нас', 'поселили', 'раніше', 'о', '12', '30']","['1', 'нас', 'поселили', 'раніше', 'о', '12', '30', '2', 'дуже', 'класний', 'сніданок', '3', 'хороший', 'номер', 'гарний', 'та', 'стильний', '4', 'швидкий', 'рум', 'сервіс']","['1', 'було', 'дуже', 'багато', 'волосся', 'в', 'душі', 'та', 'в', 'кімнаті', '2', 'коли', 'прийшли', 'на', 'сніданок', 'всі', 'столи', 'була', 'зайняті', 'брудним', 'посудом', 'мовилось', 'просити', 'офіціанта', 'прибрати', 'щоб', 'сісти']",9.2,10.0,1
47,"['Відмінне', 'співвідношення', 'ціни', 'і', 'якості']","['Знайшов', 'свій', 'улюблений', 'готель', 'в', 'Одесі', 'зупиняюсь', 'в', 'ньому', 'вже', 'багато', 'разів', 'приємно', 'що', 'рівень', 'готелю', 'не', 'падає', 'Чистий', 'затишний', 'новий', 'Все', 'чудово']","['Все', 'на', 'відмінно']",10.0,10.0,1
48,"['приємно', 'що', 'є', 'можливість']","['комфортним', 'був', 'сон', 'прохолодно', 'та', 'затишно', 'гарний', 'сніданок', 'з', 'багатим', 'вибором', 'чисто', 'просторий', 'ліфт', 'і', 'кава', 'дуже', 'смачна']","['тільки', 'спека', 'яка', 'від', 'готелю', 'не', 'залежить']",8.3,10.0,0
49,"['Загалом', 'дуже', 'сподобалося', 'ввічливий', 'та', 'приємний', 'персонал', 'допомагали', 'при', 'першій', 'потребі']","['Все', 'надзвичайно', 'гарне', 'архітектор', 'та', 'дизайнери', 'постарались', 'витримано', 'один', 'стиль', 'Сніданок', 'чудовий', 'великий', 'вибір', 'страв']","['Трошки', 'можливо', 'замало', 'місця', 'навколо', 'ліжка', 'і', 'хочеться', 'закриту', 'шафу']",8.8,10.0,0
50,"['Мені', 'сподобалось']","['Сніданок', 'смачний', 'достатньо', 'фруктів', 'та', 'овочів', 'Ліжко', 'комфортне', 'постіль', 'чиста', 'Номери', 'затишні', 'але', 'невеличкі', 'Меблі', 'та', 'сантехніка', 'якісні', 'та', 'зручні', 'у', 'користуванні', 'Великий', 'балкон', 'з', 'двома', 'кріслами', 'та', 'столиком', 'якщо', 'номер', 'з', 'балконом']","['Можна', 'змінювати', 'склад', 'сніданків', 'щоб', 'не', 'все', 'повторювалося', 'що', 'дня']",7.9,10.0,0
51,"['Чудовий', 'готель', 'в', 'центрі', 'міста']","['Чудовий', 'готель', 'Все', 'сподобалось', 'Були', 'з', 'колегою', 'з', 'Італії', 'якого', 'приємно', 'здивувало', 'співвідношення', 'ціни', 'до', 'якості', 'Персонал', 'ввічливий', 'відповідав', 'на', 'всі', 'наші', 'прохання', 'Сніданок', 'зі', 'шведським', 'столом', 'задовільняє', 'будь', 'який', 'смак', 'Найкращий', 'готель', 'з', '20-30', 'в', 'яких', 'я', 'зупинявся', 'в', 'Одесі', 'за', 'останні', '10', 'років', 'Дякуємо']",['Nan'],10.0,10.0,1
52,"['дякую', 'працівникам', 'отеля', 'за', 'чудову', 'атмосферу', 'адміністратори']","['дякую', 'працівникам', 'отеля', 'за', 'чудову', 'атмосферу', 'адміністратори', 'готелю', 'компетентні', 'і', 'ввічливі', 'номер', 'просторий', 'та', 'світлий', 'сніданок', 'смачний', 'та', 'різноманітний', 'повністю', 'відповідає', 'ціна', 'якість']",['Nan'],9.2,10.0,1
