,title,pos,neg,ratingValue,bestRating,rate
10,['Розташування'],['Розташування'],"['На', 'першому', 'поверсі', 'неможливо', 'спати', 'через', 'відсутність', 'шумоізоляції', 'Вночі', 'було', 'дуже', 'чутно', 'ВС', 'розмови', 'з', 'коридору', 'біля', 'рецепції', 'несправний', 'злив', 'в', 'унітазі']",6.7,10.0,0
11,"['Місцезнаходження', 'дизайн', 'затишок', 'кава', 'і', 'чай']","['Місцезнаходження', 'дизайн', 'затишок', 'кава', 'і', 'чай']","['Нема', 'сніданків', 'душова', 'кабінка', 'щільно', 'не', 'закривається', 'тому', 'після', 'душу', 'вся', 'підлога', 'мокра', 'можна', 'послизнутися']",8.5,10.0,0
12,"['чистенько', 'для', 'дитини', 'окреме', 'ліжко', 'непогане', 'розташування']","['чистенько', 'для', 'дитини', 'окреме', 'ліжко', 'непогане', 'розташування', 'готелю']","['звукоізоляція', 'просто', 'жах', 'ще', 'гіршої', 'я', 'не', 'бачила', 'Посилили', 'нас', 'в', 'номер', 'прям', 'біля', 'рецепція', 'в', '2-х', 'метрах', 'так', 'вранці', 'було', 'чутно', 'всі', 'розмови', 'всі', 'заселення', 'і', 'виселення', 'Навіть', 'шум', 'кавової', 'машини', 'було', 'чути', 'наче', 'як', 'під', 'вухом', 'Такі', 'номера', 'не', 'мають', 'право', 'на', 'життя', 'і', 'перекреслюють', 'абсолютно', 'всі', 'плюси', 'готелю', 'Більше', 'не', 'бронювати']",5.4,10.0,-1
13,"['Тільки', 'позитивні', 'враження', 'привабливий', 'персонал', 'чисто', 'та']","['Тільки', 'позитивні', 'враження', 'привабливий', 'персонал', 'чисто', 'та', 'тепло', 'в', 'готелі', 'В', 'номері', 'стоїть', 'маленька', 'ялинка', 'відпочивали', 'на', 'різдво', 'що', 'додає', 'новорічний', 'настрій', 'приїдемо', 'ще', 'раз']","['Так', 'чисто', 'що', 'аж', 'око', 'ріже']",10.0,10.0,1
14,['Рекомендую'],"['Майже', 'центр', 'міста', 'тихі', 'номери', 'чисто', 'свіжий', 'ремонт', ""м'яке"", 'ліжко', 'якісні', 'тапки', 'в', 'душі', 'є', 'окрім', 'шампунів', 'ще', 'й', 'зубні', 'щітки', 'та', 'паста', 'в', 'лобі', 'безкоштовна', 'досить', 'непогана', 'кава', 'а', 'в', 'номері', 'була', 'навіть', 'прикрашена', 'ялинка']","['Відсутність', 'ліфту', 'в', 'готелі', '4', 'поверхи', 'для', 'тих', 'хто', 'з', 'авто', 'немає', 'парковки']",10.0,10.0,1
15,"['Найбільший', 'плюс', 'цього', 'готелю', 'привітний', 'персонал', 'який', 'з']","['Найбільший', 'плюс', 'цього', 'готелю', 'привітний', 'персонал', 'який', 'з', 'радістю', 'задовільнити', 'всі', 'ваші', 'побажання', 'Поселили', 'раніше', 'зазначеного', 'часу', 'попросила', 'вазу', 'без', 'проблем', 'попросила', 'виселитися', 'пізніше', '12', 'теж', 'з', 'радістю', 'залишили', 'мені', 'номер', 'на', 'декілька', 'годин', ""інтер'єр"", 'стильний', 'та', 'яскравий', 'у', 'кімнатах', 'є', 'все', 'необхідне', 'телевізор', 'кондиціонер', 'дуже', 'зручне', 'ліжко', 'міні', 'бар', 'косметика', '4', 'полотен', 'на', 'людину', 'ще', 'дуже', 'вагомим', 'плюсом', 'є', 'вигідне', 'розташування', 'готель', 'знаходиться', 'в', 'центрі', 'міста', 'але', 'в', 'той', 'ж', 'час', 'захований', 'у', 'двориках', 'тобто', 'вам', 'не', 'буде', 'заважати', 'лишній', 'шум', 'машин', 'чи', 'веселих', 'людей', 'у', 'ночі', 'Також', 'біля', 'ресепшені', 'присутній', 'кавовий', 'апарат', 'у', 'якому', 'всі', 'гості', 'можуть', 'безкоштовно', 'брати', 'напої', 'Отже', 'готелем', 'я', 'дуже', 'задоволена', 'і', 'рекомендую', 'зупинятись', 'у', 'Львові', 'саме', 'тут']","['Єдиний', 'мінус', 'коржик', 'в', 'туалеті', 'був', ""м'яко"", 'кажучи', 'в', 'поганому', 'стані']",9.6,10.0,1
16,"['Дуже', 'комфортно', 'для', 'відвідин', 'центра', 'міста', 'та', 'прогулянок']","['В', 'номері', 'були', 'декілька', 'рушників', 'мило', 'зубні', 'щітки', 'паста', 'та', 'пляшки', 'з', 'водою', '5', 'хвилин', 'до', 'головної', 'площі', 'міста', 'А', 'ще', 'гарний', 'дизайн', 'та', 'привітний', 'персонал', 'який', ""люб'язно"", 'дозволив', 'залишити', 'речі', 'після', 'виїзду', 'з', 'готелю', 'до', 'вечірнього', 'поїзду', 'поки', 'ми', 'гуляли', 'містом', 'бесплатно', 'шоколад', 'кава', 'та', 'чай', 'на', 'першому', 'поверсі']","['Немає', 'ресторану', 'та', 'сервісу', 'обслуговування', 'в', 'кімнатах', 'Тому', 'за', 'сніданком', 'треба', 'іти', 'в', 'кафе', 'ресторан']",9.6,10.0,1
17,"['комфортний', 'відпочинок', 'в', 'чистих', 'умовах']","['Персонал', 'привітний', 'напоїли', 'вночі', 'гарячим', 'чаєм', 'вранці', 'в', 'доступі', 'кава', 'чай', 'безкоштовно', 'Все', 'дуже', 'чисто']","['Єдиний', 'маленький', 'мінус', 'який', 'не', 'зіпсував', 'мій', 'відпочинок', 'слабка', 'шумоізоляція', 'Чула', 'весь', 'діалог', 'сусідів', 'за', 'стіною']",10.0,10.0,1
18,"['Буду', 'приїздити', 'ще', 'та', 'порекомендує', 'друзям']","['Ліжко', ""м'яке"", 'як', 'на', 'мене', 'то', 'занадто', 'але', 'більшості', 'подобається', 'Персонал', 'допоможе', 'у', 'будь', 'якій', 'ситуації']","['Готель', 'не', 'надає', 'можливості', 'поснідати', 'Але', 'вони', 'працюють', 'над', 'цим']",10.0,10.0,1
19,"['як', 'для', 'заявленої', 'категорії', 'ну', 'майже', 'ідеально']","['як', 'для', 'заявленої', 'категорії', 'ну', 'майже', 'ідеально', 'Тихо', 'спокійно', 'дуже', 'ввічливий', 'персонал', 'Думаю', 'ще', 'трохи', 'та', 'Ловас', 'неможливо', 'буде', 'потрапити', 'Але', 'наступного', 'разу', 'тільки', 'до', 'вас']","['Чув', 'що', 'сусіди', 'з', 'інших', 'поверхів', 'скаржились', 'на', 'погану', 'шумоізоляцію', 'Думаю', 'так', 'воно', 'і', 'є', 'однак', 'мені', 'пощастило', 'жити', 'на', 'останньому', 'поверсі', 'та', 'напевно', 'не', 'було', 'сусідів', 'Крім', 'годинникового', 'бою', 'з', 'сусідньої', 'веж', 'ні', 'чого', 'не', 'чув', 'хоча', 'якусь', 'поличку', 'у', 'ванній', 'Треба', 'поміняти', 'праску', 'Ну', 'дуже', 'нещасна', 'можна', 'зіпсувати', 'одяг']",9.6,10.0,1
20,"['Розташування', 'і', 'персонал', 'чудові', 'але', 'може', 'бути', 'шумно', 'від', 'сусідів']","['Відмінне', 'розташування', 'тихий', 'дворик', 'чудовий', 'персонал', 'гарний', ""інтер'єр""]","['Погана', 'звукоізоляція', 'між', 'кімнатами', 'якщо', 'попадуться', 'шумні', 'сусіди', 'як', 'мені', 'спати', 'неможливо', 'Пропоную', 'роздавати', 'гостям', 'Белуші']",9.6,10.0,1
21,"['Дуже', 'зручне', 'розташування', 'готелю', '5', 'хв', 'від', 'Оперного', 'театру']","['Дуже', 'зручне', 'розташування', 'готелю', '5', 'хв', 'від', 'Оперного', 'театру', 'Знаходиться', 'майже', 'в', 'самому', 'центрі', 'але', 'так', 'як', 'сама', 'споруда', 'має', 'вихід', 'тільки', 'у', 'внутрішній', 'дворик', 'зовсім', 'не', 'чути', 'шуму', 'вулиці', 'Дуже', 'привітний', 'персонал', 'допомогли', 'заселитися', 'до', '15', '00', 'Прибирання', 'кожного', 'дня', 'Сучасний', 'дизайн']","['Трішки', 'тонкі', 'стіни', 'було', 'чути', 'розмови', 'за', 'дверима', 'але', 'зовсім', 'тихо', 'спати', 'це', 'не', 'заважало']",9.0,10.0,1
22,"['Безмежно', 'дякую', 'Blum', 'Hotel', 'Наш', 'Honey', 'moon', 'минув', 'як', 'вдома']","['Привітні', 'адміністратори', 'і', 'посміхнулися', 'і', 'поговорили', 'і', 'пожартували', 'Зручне', 'розташування', '10', 'хвилин', 'від', 'центру', 'поруч', 'парк', 'відпочинку', 'та', 'заклади', 'в', 'яких', 'можна', 'смачно', 'поїсти', 'Зручне', 'та', 'затишне', 'помешкання', ""м'яке"", 'і', 'комфортне', 'ліжко', 'шафа', 'телевізор', 'та', 'ванна', 'кімната', 'І', 'ті', 'маленькі', 'недоліки', 'були', 'просто', 'непомітні']","['З', 'відчиненим', 'вікном', 'вранці', 'не', 'виспалися', 'адже', 'в', 'дворику', 'під', 'вікнами', 'було', 'трохи', 'шумно', 'Постійно', 'замикалися', 'двері', 'у', 'ванній', 'кімнаті', 'тому', 'доводилося', 'їх', 'просто', 'прикривати', 'а', 'не', 'закривати']",9.6,10.0,1
23,"['Хороший', 'персонал']","['Хороший', 'персонал']","['Жахливо', 'смерділо', 'лаком', 'чи', 'новим', 'ремонтом', 'Вікно', 'в', 'стелі', 'яке', 'неможливо', 'відкрити', 'бо', 'дуже', 'високо', 'Дихати', 'нема', 'чим', 'В', 'середині', 'ночі', 'була', 'змушена', 'відкрити', 'двері', 'в', 'коридор', 'бо', 'думала', 'що', 'задихнувся', 'щілина', 'між', 'дверима', 'і', 'підлогою', 'така', 'велика', 'що', 'коли', 'ти', 'лягає', 'в', 'ліжко', 'то', 'з', 'коридору', 'б', 'є', 'холодне', 'біле', 'світло', 'прямо', 'в', 'очі', 'Жахлива', 'видалася', 'ніч']",6.3,10.0,0
24,"['Blum', 'Hotel', 'це', 'круто']","['Приїздив', 'на', 'декілька', 'днів', 'у', 'відрядження', 'Розташування', 'готелю', 'приємне', 'номер', 'мінімалістичний', 'і', 'не', 'обтяжений', 'деталями', 'Персонал', 'молодий', 'привітний', 'та', 'чемний', 'Загалом', 'все', 'дуже', 'сподобалося', 'Друзям', 'і', 'колегам', 'раджу', 'цей', 'готель', 'сам', 'з', 'радістю', 'планую', 'повернуся', 'туди', 'неодноразово']","['На', 'жаль', 'відсутня', 'опція', 'сніданку', 'Але', 'поблизу', 'готелю', 'розташовані', 'декілька', ""кав'ярень"", 'і', 'ресторацій', 'це', 'вирішує', 'проблему']",9.2,10.0,1
25,['Рекомендую'],"['Я', 'сама', ""львів'янка"", 'але', 'не', 'знала', 'про', 'існування', 'цього', 'Котельника', 'новий', 'охайний', 'дуже', 'привітний', 'персонал', 'Раджу', 'обирати', 'це', 'місце', 'ідеальна', 'локація', 'і', 'щодо', 'прогулянки', 'і', 'щодо', 'транспортних', ""розв'язок"", 'у', 'всіх', 'напрямках', 'Рекомендую']","['Конкретно', 'для', 'мене', 'це', 'не', 'була', 'проблема', 'що', 'нема', 'сніданку', 'але', 'якщо', 'скеровувати', 'інших', 'то', 'це', 'може', 'бути', 'пересторогою', 'Мені', 'було', 'достатньо', 'смачної', 'кави', 'у', 'холі', 'біля', 'рецепції', 'Великий', 'попит', 'на', 'заселення', 'у', 'цей', 'готель', 'тому', 'на', 'жаль', 'мені', 'не', 'вдалося', 'домовитися', 'ні', 'про', 'ранній', 'заїзд', 'ні', 'про', 'пізній', 'виїзд', 'Проте', 'якщо', 'хтось', 'буде', 'планувати', 'заздалегідь', 'поїздку', 'то', 'раджу', 'врахувати', 'всі', 'деталі', 'і', 'все', 'ж', 'обрати', 'Блюм']",10.0,10.0,1
26,"['Чудова', 'локація']","['Чудова', 'локація', 'Ввічливий', 'та', 'уважний', 'персонал', 'Затишний', 'номер', 'з', 'усіма', 'зручностями', 'Чарівний', 'тихий', 'дворик', 'Цілодобова', 'реєстрація', 'Безкоштовні', 'напої', 'Загалом', 'на', 'твердих', '9.5', 'із', '10', 'Дуже', 'дякуємо', 'що', 'зробили', 'наш', 'відпочинок', 'максимально', 'комфортним']","['Єдиний', 'мінус', 'це', 'звукоізоляція', 'Але', 'нас', 'з', 'подругою', 'це', 'навіть', 'повеселили']",10.0,10.0,1
27,"['Для', 'ділової', 'поїздки', 'в', 'центрі', 'міста', 'саме', 'той', 'готель', 'що', 'потрібно']","['Зручне', 'місцеположення', 'готелю', 'в', 'номері', 'чисто', 'доброзичливий', 'персонал', 'на', 'ресепшені', 'креативне', 'оформлення', 'Холл', 'та', 'номеру']","['Малий', 'по', 'площі', 'номер', 'за', 'таку', 'вартість']",9.2,10.0,1
28,"['повернусь', 'із', 'задоволенням']","['Прекрасне', 'розташування', 'тихий', 'дворик', 'зубна', 'щітка', 'та', 'капці', 'дякую', 'вам', 'кондиціонер', 'Новий', 'чистий', 'готель', 'без', 'набридлого', 'Биково', 'Wi', 'Fi', 'ок', 'Ціна', 'якість', 'ок']","['Кава', 'автомат', 'не', 'працював', 'вранці', 'коли', 'конче', 'потрібна', 'була', 'кава', 'І', 'ще', 'поставте', 'москітну', 'сітки', 'на', 'вікна', 'будь', 'Ласточка']",9.2,10.0,1
29,"['Відмінне', 'місцеположення', 'дуже', 'вихований', 'та', 'привітний']","['Відмінне', 'місцеположення', 'дуже', 'вихований', 'та', 'привітний', 'персонал', 'смачна', 'кава', 'затишні', 'номери', 'швидкий', 'Wi', 'Fi']","['Поганий', ""зв'язок"", 'в', 'номерах', 'це', 'не', 'відноситься', 'до', 'Wi', 'Fi', 'немає', 'сніданків']",9.6,10.0,1
30,"['це', 'найкращий', 'з', 'готелів', 'в', 'яких', 'я', 'зупинялась', 'за', 'останні', '5']","['це', 'найкращий', 'з', 'готелів', 'в', 'яких', 'я', 'зупинялась', 'за', 'останні', '5', 'років', 'Отримала', 'задоволення', 'починаючи', 'з', 'персоналу', 'і', 'закінчуючи', 'зубними', 'щіточками', 'дуже', 'чисто', 'комфортно', 'кольорової', 'приємно', 'Буду', 'зупинятись', 'тільки', 'тут', 'дякую', 'що', 'ви', 'є']","['намагалась', 'щось', 'знайти', 'але', 'нічого', 'не', 'знайшла', 'все', 'дуже', 'круто']",10.0,10.0,1
31,"['Сам', 'готель', 'нещодавно', 'відкрився']","['Сам', 'готель', 'нещодавно', 'відкрився', 'Тому', 'все', 'виглядає', 'дуже', 'чисто', 'і', 'охайно', 'Номер', 'загалом', 'дуже', 'просторий', 'хоч', 'це', 'був', 'і', 'одномісний', 'економ', 'Виглядає', 'стильно', 'і', 'ново', 'одномісні', 'ліжко', 'нереально', 'великого', 'розміру', 'дуже', 'зручне', 'постільна', 'білизна', 'і', 'рушники', 'дуже', 'гарно', 'пахнуть', 'і', 'все', 'таке', 'маленьке', 'В', 'номері', 'є', 'повноцінна', 'шафа', 'і', 'письмовий', 'стіл', 'Також', 'простора', 'ванна', 'кімната', 'Розташування', 'чудове']","['звукоізоляція', 'дійсно', 'погана']",10.0,10.0,1
32,"['Планую', 'повернутися', 'ще']","['Чисто', 'гарний', 'дизайн', 'класне', 'розташування', 'Дуже', 'сподобалося', 'що', 'була', 'навіть', 'зубна', 'щітка']","['Була', 'літня', 'вода', 'не', 'зверталася', 'до', 'персоналу', 'бо', 'була', 'лише', 'на', 'одну', 'добу', 'і', 'немала', 'часу', 'Не', 'сподобалася', 'якість', 'рушників']",9.6,10.0,1
33,"['Одна', 'ніч', 'у', 'Львові']","['Сніданок', 'скромний', 'але', 'смачний', 'Зручне', 'велике', 'ліжко', 'Є', 'номері', 'є', 'холодильник', 'і', 'кондиціонер']","['Протікає', 'душова', 'кабіна']",9.6,10.0,1
34,"['Добрий', 'варіант', 'для', 'Львова']","['Тихий', 'отель', 'майже', 'в', 'самому', 'центрі', 'Львову', 'оптимальне', 'відношення', 'ціна', 'якість']","['Варто', 'вивісити', 'вказівники', 'для', 'полегшення', 'пошуку', 'готелю']",10.0,10.0,1
35,"['Зручно', 'що', 'поряд', 'з', 'центром']","['Зручно', 'що', 'поряд', 'з', 'центром']","['Напевно', 'вже', 'час', 'на', 'певний', 'ремонт']",9.5,10.0,1
36,"['Сніданок', 'дуже', 'смачний', 'вишукана', 'подача']","['Сніданок', 'дуже', 'смачний', 'вишукана', 'подача', 'Привітні', 'офіціанти', 'Красивий', 'інтер', 'єр']","['Відсутня', 'парковка']",10.0,10.0,1
37,"['Місце', 'розташування', 'готелю', 'дуже', 'зручне']","['Місце', 'розташування', 'готелю', 'дуже', 'зручне']","['Такого', 'не', 'виявлено']",10.0,10.0,1
38,"['Чистота', 'привітний', 'персонал']","['Чистота', 'привітний', 'персонал']","['Жила', 'на', 'першому', 'поверсі', 'і', 'практично', '3', 'дні', 'було', 'відсутнє', 'опалення', 'а', 'на', 'дворі', 'було', 'досить', 'холодно']",8.8,10.0,0
39,"['Зручне', 'розміщення', 'нові', 'номери', 'комфортне', 'ліжко', 'є', 'також']","['Зручне', 'розміщення', 'нові', 'номери', 'комфортне', 'ліжко', 'є', 'також', 'робоче', 'місце']","['Не', 'працював', 'ресторан', 'тому', 'на', 'жаль', 'не', 'було', 'сніданках']",9.6,10.0,1
40,"['Розташування', 'персонал', 'привітний', 'і', 'дружелюбний', 'чисто']","['Розташування', 'персонал', 'привітний', 'і', 'дружелюбний', 'чисто']","['звукоізоляція', 'відсутня']",9.2,10.0,1
41,['відмінно'],"['Оцінив', 'класні', 'тапочки']","['Так', 'як', 'це', 'центральна', 'частина', 'міста', 'проблема', 'з', 'парковкою', 'авто']",10.0,10.0,1
42,"['Чудовий', 'персонал']","['Чудовий', 'персонал']","['Відсутність', 'власної', 'парковки']",4.6,10.0,-1
43,['Чисто'],['Чисто'],['прохолодно'],9.6,10.0,1
44,"['Зручне', 'розташування', 'готелю', 'ввічливий', ""ненав'язливий"", 'персонал', 'кімната', 'чиста', 'покоївка', 'була', 'привітна']","['Ліжко', 'чисте', 'та', 'дуже', 'мягко']",['звукоізоляція'],8.8,10.0,0
45,"['Все', 'було', 'чудово']","['Все', 'було', 'чудово']","['Все', 'сподобалось']",7.9,10.0,0
46,"['Чудова', 'локація']","['Чудова', 'локація', 'привітний', 'персонал', 'Чисто', 'тихо', 'кімната', 'оснащена', 'усим', 'необхідним']","['Відсутні', 'сніданки']",9.2,10.0,1
47,"['Дуже', 'класний', 'готель']","['Дуже', 'класний', 'готель', 'Pets', 'friendly', 'Персонал', 'вищий', 'клас', 'Чисто', 'охайно', 'стильно']","['Хтось', ""п'яний"", 'майже', 'всю', 'ніч', 'голосив', 'польською']",10.0,10.0,1
48,['Тишина'],['Тишина'],"['Світло', 'з', 'під', 'дверей']",9.2,10.0,1
49,"['гарний', 'новий', 'готель']","['Новий', 'готель', 'дуже', 'чисто', 'класний', 'персонал', 'і', 'хороше', 'розташування', 'є', 'кава', 'і', 'вода', 'в', 'холі', 'та', 'на', 'поверхах']","['Вхід', 'на', 'поверхи', 'тільки', 'сходами']",9.2,10.0,1
50,"['Чудовий', 'персонал', 'чиста', 'вода', 'непогана', 'кава']","['Чудовий', 'персонал', 'чиста', 'вода', 'непогана', 'кава']","['мансардний', 'поверх']",8.3,10.0,0
51,"['тихо', 'чисто', 'зручне', 'ліжко', 'все', 'було', 'супер']","['тихо', 'чисто', 'зручне', 'ліжко', 'все', 'було', 'супер']","['необхідно', 'додати', 'припинений', 'Коврига', 'на', 'підлогу', 'в', 'данный', 'кімнаті']",9.2,10.0,1
52,['Рекомендую'],"['Розташування', 'приємний', 'персонал', 'інтернет']",['звукоізоляція'],9.2,10.0,1
53,"['Чудове', 'місце', 'розташування', 'та', 'привітний', 'персонал']","['Чудове', 'місце', 'розташування', 'та', 'привітний', 'персонал']","['У', 'приміщенні', 'відчувається', 'запах', 'сирості', 'особливо', 'на', 'першому', 'поверсі']",7.9,10.0,0
54,"['Сподобалася', 'атмосфера', 'персоналу', 'і', 'номери']","['Сподобалася', 'атмосфера', 'персоналу', 'і', 'номери']","['Неможливість', 'потрапити', 'в', 'номер', 'після', '2', '00', 'у', 'звязку', 'з', 'зачиненою', 'брамою', 'Ще', 'залишився', 'запах', 'ремонту']",9.6,10.0,1
55,"['Розташування', 'готелю', 'в', 'центрі', 'де', 'до', 'будь', 'якої', 'історичної']","['Розташування', 'готелю', 'в', 'центрі', 'де', 'до', 'будь', 'якої', 'історичної', ""пам'ятки"", 'до', '10', 'хв', 'пішки', 'Чистота', 'в', 'номері', 'ввічливий', 'персонал', 'Є', 'ліфт', 'і', 'сходи', 'Можна', 'скористатися', 'безкоштовною', 'камерою', 'схову', 'Поряд', 'різноманітні', 'кафе', 'ресторани', 'магазини']","['Із', 'недоліків', 'відсутність', 'шампуню', 'в', 'номері']",9.2,10.0,1
