Unnamed: 0,title_ru,pos_text_ru,neg_text_ru,ratingValue,bestRating,hotel,title,pos_text,neg_text
10,Комфорт в отдыхе очень важен,"Брали номер Люкс Джуниор. В номере чисто (без посторонних запахов), уютно, есть все необходимое для комфортного проживания. Санузел без запаха цвили, гарячая вода круглые сутки. Еда в ресторане вкусная (обедали), завтраки хорошие, но кофе среднечковый. Персонал отеля приветливый, всегда готовы помочь в любом деле (помогли распечатать необходимое, связывались с аэропортом). Есть услуги салона красоты (парикмахер), что очень удобно, красота не выходя из отеля))","Необходимо решить проблему с рестораном - когда в ресторане свадьба (особенно в обоих залах), персонал ресторана всячески пытается увильнуть от содействия. Во время свадеб холл отеля превращается в вокзал, толпы гостей снуют туда-сюда (на улицу покурить, просто громко пообщаться в холле отеля и т.п.). Если вы приехали отдохнуть, то создается впечатление, что вам не рады, о приватной встрече в фойе отеля и речи быть не может. К тому же дискотека до 1.00 ночи - это уж слишком. Сделайте отдельный вход в ресторан с улицы для гостей на свадьбу, изолируйте на время свадеб фойе отеля, это не сложно. Ну и придерживайтесь временных рамок - в выходной день можно шуметь до 23.00...",8.8,10.0,nadiya-ivano-frankivsk.uk.html,Комфорт у відпочинку дуже важливий,"Брали номер Люкс Джуніор . У номері чисто (без сторонніх запахів), затишно, є все необхідне для комфортного проживання . санвузол без запаху Цвіля, гаряча вода цілодобово . Їжа в ресторані смачна (обідали), сніданки хороші, але кава середнячком . Персонал готелю привітний, завжди готові допомогти в будь - якій справі (допомогли роздрукувати необхідне, зв & #39; язувалися з аеропортом). Є послуги салону краси (перукар), що дуже зручно, краса не виходячи з готелю) )","Необхідно вирішити проблему з рестораном - коли в ресторані весілля (особливо в обох залах), персонал ресторану всіляко намагається ухилитися від сприяння . Під час весіль хол готелю перетворюється в вокзал, натовпи гостей снують туди - сюди (на вулицю покурити, просто голосно поспілкуватися в холі готелю і т . п .). Якщо ви приїхали відпочити, то створюється враження, що вам не раді, про приватній зустрічі в фойє готелю і мови бути не може . До того ж дискотека до 1.00 ночі - це вже занадто . Зробіть окремий вхід в ресторан з вулиці для гостей на весілля, ізолюють на час весіль фойє готелю, це не складно . Ну і дотримуйтеся часових рамок - у вихідний день можна шуміти до 23.00 ..."
11,Хороший отель.,Хороший отель.,"Ресторан и отель, заточены на свадьбы и мероприятия. Для постояльцев доступ в ресторан ограничен во время мероприятий.
Шумно и громко во время пати.",9.6,10.0,nadiya-ivano-frankivsk.uk.html,Хороший готель.,Хороший готель.,"Ресторан і готель, заточені на весілля і заходи. Для постояльців доступ до ресторану обмежений під час заходів. Шумно і голосно під час паті."
12,Все понравилось.,"Все понравилось. При поселении девочки на рицепшине дали номер выше классом, чем был забронирован. Видно, что в отеле за всем следят. Завтрак включён - шведский стол.","Немного разочаровала парковка, все ставят машины в хаотичном порядке и парковщики не спешат помочь припарковаться - за что 75 грн. (сутки) непонятно.",10.0,10.0,nadiya-ivano-frankivsk.uk.html,Все сподобалося.,"Все сподобалося . При поселенні дівчинки на Тешіне дали номер вище класом, ніж був заброньований . Видно, що в готелі за всім стежать . Сніданок включений - шведський стіл.","Трохи розчарувала парковка, все ставлять машини в хаотичному порядку і паркувальники не поспішають допомогти припаркуватися - за що 75 грн. (Добу) незрозуміло."
13,В целом все ожидания были оправданы.,"В целом все ожидания были оправданы. Удобная кровать, шикарный завтрака, отличное расположение. Уверен, если буду еще раз в Ивано-Франковске, обязательно поселюсь в этом же отеле!",Было немного шумно - окна выходили на оживленную дорогу и было слышно музыку из ресторана.,8.3,10.0,nadiya-ivano-frankivsk.uk.html,В цілому всі очікування були виправдані.,"В цілому всі очікування були виправдані. Зручне ліжко, шикарний сніданку, відмінне розташування. Упевнений, якщо буду ще раз в Івано-Франківську, обов&#39;язково перебуватиму в цьому ж готелі!",Було трохи шумно - вікна виходили на жваву дорогу і було чутно музику з ресторану.
14,Хороший отель во всех смыслах,"Чисто, удобная кровать, от ЖД вокзала 10 минут пешком, есть продуктовый магазин у входа с нормальными ценами, хороший завтрак, приветливый персонал, согласились поменять мой 2ух местный на одноместный номер, поскольку я приехал без пары, а разница в цене 1000 грн, за это отдельное спасибо","Плохо работало окно, на площади перед отелем шумно, играет музыка в 11 вечера",9.6,10.0,nadiya-ivano-frankivsk.uk.html,Хороший готель у всіх сенсах,"Чисто, зручне ліжко, від залізничного вокзалу 10 хвилин пішки, є продуктовий магазин біля входу з нормальними цінами, хороший сніданок, привітний персонал, погодилися поміняти мій 2-ох місцевий на одномісний номер, оскільки я приїхав без пари, а різниця в ціні 1000 грн, за це окреме спасибі","Погано працювало вікно, на площі перед готелем шумно, грає музика в 11 вечора"
15,Отель европейского уровня,"Отличное расположение отеля. Персонал не навязчивый и профессиональный, особенно в ресторане. Номер был чистый и ухоженный. Потрясающее сочетание цены/качества.",Всё понравилось. Было очень комфортно.,10.0,10.0,nadiya-ivano-frankivsk.uk.html,Готель європейського рівня,"Відмінне розташування готелю . Персонал не нав & #39; лякливий і професійний, особливо в ресторані . Номер був чистий і доглянутий . приголомшливе поєднання ціни / якості.",Все сподобалося. Було дуже комфортно.
16,Этот отель для меня очень много значит .,Этот отель для меня очень много значит .  Я жил и работал недалеко и проводил все свое время юности в этом отеле  .  Сейчас сожалению с каждым годом всё хуже  .  Персонал относится плохо   Вызов для меня такси для них  Напрягом  .  Кофе хороший вкусный но бесплатный завтрак он не выходит   Приходилось каждое утро кофе себе покупать у них  .  Во время покидание отеля постоянно хотят штрафовать   В прошлом году оштрафовали за пятно от шоколада на  Мягком  кресле   Парковка автомобиля сейчас ним входит в стоимость проживания .   Ключи от номера очень старые с большими неудобными пластиковыми брелками  Позавчера когда я уезжал брелок сломался и они мне сделали замечание    Это  просто жесть    Качество телевидения в номере не изменилась по-моему 90 годов  Течение прошлой недели  Состоялось 5 свадьб  В ресторане  Отеля  Отдохнуть вечером в номере нереально   Чтобы оплатить номер при выезде   Их терминал не принял ни одну из моих трёх банковских карт   Я вышел на улицу и снял наличные в банкомате из этих трёх разных счетов   Я расчитывал что с ними наличными   Прошлом году снимал люкс он не стоит этих  денег . В этом году снимал  обыкновенный номер  .   В общем я недоволен,,6.3,10.0,nadiya-ivano-frankivsk.uk.html,Цей готель для мене дуже багато значить.,Цей готель для мене дуже багато значить . Я жив і працював недалеко і проводив весь свій час юності в цьому готелі . Зараз жаль з кожним роком все гірше . Персонал ставиться погано Виклик для мене таксі для них напряг . Кава хороший смачний але безкоштовний сніданок він не виходить Доводилося щоранку каву собі купувати у них . Під час покидання готелю постійно хочуть штрафувати Торік оштрафували за пляма від шоколаду на М & #39; якому кріслі Парковка автомобіля зараз ним входить у вартість проживання . Ключі від номера дуже старі з великими незручними пластиковими брелока Позавчора коли я їхав брелок зламався і вони мені зробили зауваження Це просто жесть Якість телебачення в номері не змінилася по - моєму 90 років Перебіг минулого тижня Відбулося 5 весіль У ресторані Готелю Відпочити ввечері в номері нереально Щоб оплатити номер при виїзді Їх термінал не прийняв ні одну з моїх трьох банківських карт Я вийшов на вулицю і зняв готівку в банкоматі з цих трьох різних рахунків Я розраховував що з ними готівкою Торік знімав люкс він не коштує цих грошей . Цього року знімав звичайний номер . Загалом я задоволений,Nan
17,"Отличное местоположение, близко к центру, очень понравился...","Отличное местоположение, близко к центру, очень понравился завтрак, большой выбор. Номер удобный, хорошее соотношение цена-качество. Если в будущем еще буду в Ивано-Франковске, то безусловно остановлюсь здесь.",Было бы неплохо если бы в номере был чайник и принадлежности к нему.,8.8,10.0,nadiya-ivano-frankivsk.uk.html,"Відмінне місце розташування, близько до центру, дуже сподобався ...","Відмінне місце розташування, близько до центру, дуже сподобався сніданок, великий вибір. Номер зручний, гарне співвідношення ціна-якість. Якщо в майбутньому ще буду в Івано-Франківську, то безумовно зупинюся тут.",Було б непогано якби в номері був чайник і приналежності до нього.
18,"Забронирую еще там номер, если прийдется побывать в Ив.Франковске","Завтрак супер всё вкусно и свежее, можно кушать внутри или на открытом воздухе, расположение отеля отличное, в комнатах  коридорах чисто, тихо и спокойно. Очень красивый вид с окна на город, хорошая зеленая зона у отеля.",,10.0,10.0,nadiya-ivano-frankivsk.uk.html,"забруднюють ще там номер, якщо прийдеться побувати в Ів . Франківськ","Сніданок супер все смачно і свіже, можна їсти всередині або на відкритому повітрі, розташування готелю відмінне, в кімнатах коридорах чисто, тихо і спокійно. Дуже красивий вид з вікна на місто, гарна зелена зона біля готелю.",Nan
19,Мне не понравился эконом двухместный!,Мне не понравился эконом двухместный! маленький номерок с старым телевизором ! он не стоит 900 грн.за 700 можно снять шикарную квартиру!!! и я готова была оттуда бежать когда девочки Ирина с ресепшина мне предложила номер Стандарт -шикарный просторный!!! девушка очень классная!!! конфликт уладила быстро!,,10.0,10.0,nadiya-ivano-frankivsk.uk.html,Мені не сподобався економ двомісний!,Мені не сподобався економ двомісний! маленький номерок з старим телевізором! він не коштує 900 грн . за 700 можна зняти шикарну квартиру!!! і я готова була звідти втекти коли дівчатка Ірина з ресепшн мені запропонувала номер Стандарт - вікарний просторий!!! дівчина дуже класна!!! конфлікт полагодили швидко!,Nan
20,Номер чистый и комфортный.,"Номер чистый и комфортный. Все необходимое есть. Месторасположение идеально, в пешей доступности от жд вокзала и исторической части города. Завтраки хорошие",,10.0,10.0,nadiya-ivano-frankivsk.uk.html,Номер чистий і комфортний.,"Номер чистий і комфортний. Все необхідне є. Місцезнаходження ідеально, в пішій доступності від залізничного вокзалу і історичної частини міста. сніданки хороші",Nan
21,Отличный отель в отличном городе!,"Отличный отель в отличном городе! Практическив самом центре. везде можно дойти пешком и с ЖД вокзала, и даже из аэропорта, за 30 минут как это сделал я)))) Завтрак отличный большой выбор блюд. чай. кофе Спасибо деовчкам на ресепшене что проапгрейдили мой номер из одноместного до люкса))) Всегда приятно такое гостеприимство! Когда буду в следующий раз во Франковске обязательно остановлю там же!",Нет такого,10.0,10.0,nadiya-ivano-frankivsk.uk.html,Відмінний готель у відмінному місті!,"Відмінний готель у відмінному місті! Практично самому центрі . всюди можна дійти пішки і з ЖД вокзалу, і навіть з аеропорту, за 30 хвилин як це зробив я) )) ) Сніданок відмінний великий вибір страв . чай . кава Спасибі дочкам на ресепшені що апгрейд мій номер з одномісного до люксах) )) Завжди приємно таке гостинність! Коли буду в наступний раз у Франківську обов & #39; язково зупиняю там же!",Немає такого
22,Полулюкс,"Я уже ночевал в этом отеле 9 августа, после путешествия вернулся сюда опять 11 августа и снял одноместный номер, по приезду, мне сделали комплимент и дали номер в три раза лучше моего, там очень и очень комфортно, есть телевизор, большой, большая ванная комната",,10.0,10.0,nadiya-ivano-frankivsk.uk.html,напівлюкс,"Я вже ночував в цьому готелі 9 серпня, після подорожі повернувся сюди знову 11 серпня і зняв одномісний номер, по приїзду, мені зробили комплімент і дали номер в три рази краще мого, там дуже і дуже комфортно, є телевізор, великий, велика ванна кімната",Nan
23,"Хороший отель-выручалочка для тех, кто проездом в Ивано-Франковске","Приемлемая цена. Чистый аккуратный нормер, есть все необходимое: душ, вай-фай, холодильник, фен и т д.  Лучше, чем я ожидала от переделанного советского отеля. Завтрак не пробовала, не знаю. Недалеко от жд вокзала, в минуте ходьбы еще: круглосуточная аптека, супермаркет Вопак, магазин игрушек Антошка.","Только одна розетка, еще бы одну около кровати было бы неплохо сделать.",10.0,10.0,nadiya-ivano-frankivsk.uk.html,"Хороший готель - виручала для тих, хто проїздом в Івано - Франківську","прийнятна ціна . Чистий акуратний норме, є все необхідне: душ, вай - Фай, холодильник, фен і т д . Краще, ніж я очікувала від переробленого радянського готелю . Сніданок не пробувала, не знаю . Недалеко від залізничного вокзалу, в хвилині ходьби ще: цілодобова аптека, супермаркет Вопак, магазин іграшок Антошка.","Тільки одна розетка, ще б одну біля ліжка було б непогано зробити."
24,Чисто аккуратно.,Чисто аккуратно. Обильные вкусные завтраки. все необходимые мыльные принадлежности в наличии.,Значительных недостатков не выявлено. Одеяло могло бы быть пошире.,10.0,10.0,nadiya-ivano-frankivsk.uk.html,Чисто акуратно.,Чисто акуратно. Рясні смачні сніданки. всі необхідні мильні приналежності в наявності.,Значних недоліків не виявлено. Ковдра могло б бути ширше.
25,Все великолепно ,"Все очень прекрасно, от вокзала идти 10 минут, здание большое, не пропустишь) При входе есть регистрация, на ней очень крутые администраторы) Номер просторный, душ супер, и фен есть, но тапочек нет, их нужно отдельно приобрести. Завтрак - шведский стол, очень вкусно.
10/10",,10.0,10.0,nadiya-ivano-frankivsk.uk.html,Все чудово,"Все дуже чудово, від вокзалу йти 10 хвилин, будівля велика, що не пропустиш) При вході є реєстрація, на ній дуже круті адміністратори) Номер просторий, душ супер, і фен є, але тапочок немає, їх потрібно окремо придбати. Сніданок - шведський стіл, дуже смачно. 10/10",Nan
26,"Гостиница находится в центре города, возле парка.","Гостиница находится в центре города, возле парка. Номера светлые, уютные, чистые, функциональные. Ресторан и его персонал заслуживают наивысшей похвалы как в приготовлении блюд, так и в обслуживании. Завтрак великолепный: разнообразный, насыщенный, много видов холодных и горячих напитков, молочных продуктов, мясных, каши, салаты, нарезка, мясные и овощные основные блюда, дессерты, и т.д.  Приятно всегда приезжать в Ивано-Франковск, потому что в нём есть такая гостеприимная команда гостиницы ""Надія"".",,10.0,10.0,nadiya-ivano-frankivsk.uk.html,"Готель знаходиться в центрі міста, біля парку.","Готель знаходиться в центрі міста, біля парку . Номери світлі, затишні, чисті, функціональні . Ресторан і його персонал заслуговують найвищої похвали як в приготуванні страв, так і в обслуговуванні . Сніданок чудовий: різноманітний, насичений, багато видів холодних і гарячих напоїв, молочних продуктів, м & #39; ясних, каші, салати, нарізка, м & #39; ясні та овочеві основні страви, десерти, і т . д . Приємно завжди приїжджати в Івано - Франківськ, тому що в ньому є така гостинна команда готелю & quota; Надія & quota ;.",Nan
27,"Всё отлично, кроме пауков.","Чисто, комфортно, прекрасная кухня - поварам отдельное спасибо. Отель очень ухоженный, на постельное бельё приятно ложиться и полотенца в надлежащем состоянии. В И.-Франковске останавливаюсь в Nadiya уже не первый раз, но летом впервые.",Это больше пожелание - поставить москитные сетки на окна. Летом в номере жарко и чтобы почувствовать вечернюю прохладу окно открывала настежь. В открытые окна заползают большущие пауки. Даже фото на память с одним сделала.,8.8,10.0,nadiya-ivano-frankivsk.uk.html,"Все відмінно, крім павуків.","Чисто, комфортно, прекрасна кухня - кухарям окреме спасибі. Готель дуже доглянутий, на постільну білизну приємно лягати і рушники в належному стані. В І.-Франківську зупиняюся в Nadiya вже не перший раз, але влітку вперше.",Це більше побажання - поставити москітну сітки на вікна . Влітку в номері жарко і щоб відчути вечірню прохолоду вікно відкривала навстіж . У відкриті вікна заповзають величезні павуки . Навіть фото на пам & #39; ять з одним зробила.
28,Великолепный отель,"Очень хороший отель с идеальный уровнем сервиса, который ожидаешь получит за цену. Отличные завтраки. Идеальная чистота и приятный персонал. Расположен в 200 метров от исторического центра. Тот случай, когда не ждешь ничего, а реальность в разы круче фото на букинге.","Платная парковка для посетителей отеля. Дешевая, но все равно неприятная мелочь.",10.0,10.0,nadiya-ivano-frankivsk.uk.html,Розкішний готель,"Дуже хороший готель з ідеальний рівнем сервісу, який очікуєш отримає за ціну . Відмінні сніданки . Ідеальна чистота і приємний персонал . Розташований в 200 метрів від історичного центру . Той випадок, коли не чекаєш нічого, а реальність в рази крутіше фото на банкінгу.","Платна парковка для відвідувачів готелю. Дешева, але все одно неприємна дрібниця."
29,Понравилась все.,"Понравилась все. Не первый раз останавливаюсь в этом отеле. Плохо, что 30.07.2019 р. пропала по всему городу вода. Не было води и в отеле тоже. Принесли бутель воды для выхода из ситуации.",,9.0,10.0,nadiya-ivano-frankivsk.uk.html,Сподобалася все.,"Сподобалася все . Не перший раз зупиняюся в цьому готелі . Погано, що 30.07.2012 р . пропала по всьому місту вода . Не було води і в готелі теж . Принесли бутель води для виходу з ситуації.",Nan
30,"Отличный отель,шикарный вид с окна.","Отличный отель,шикарный вид с окна.В номере есть все что нужно: большой шкаф,рабочее место,телевизор,мини бар. И отличные завтраки(шведская линия).",Номер показался немного тесноват.За стеной целую ночь был включен телевизор и я слушал новостной канал(шумоизоляция между номерами плохая).,9.6,10.0,nadiya-ivano-frankivsk.uk.html,"Відмінний готель, шикарний вид з вікна.","Відмінний готель, шикарний вид з вікна.У номері є все що потрібно: велика шафа, робоче місце, телевізор, міні бар. І відмінні сніданки (шведська лінія).",Номер здався трохи тестова . За стіною цілу ніч був включений телевізор і я слухав новинний канал (шумоізоляція між номерами погана).
31,"Месторасположение супер, лучший завтрак, лучшее соотношение...","Месторасположение супер, лучший завтрак, лучшее соотношение цена/качество )) однозначно можно рекомендовать","Номерной фонд конечно совок, платная парковка для госьей((",9.6,10.0,nadiya-ivano-frankivsk.uk.html,"Місцезнаходження супер, кращий сніданок, краще співвідношення ...","Місцезнаходження супер, кращий сніданок, краще співвідношення ціна / якість)) однозначно можна рекомендувати","Номерний фонд звичайно совок, платна парковка для гостей (("
