title_ru,pos_text_ru,neg_text_ru,ratingValue,bestRating,hotel,title,pos_text,neg_text
"Отличное расположение, приятный и вежливый персонал,...","Отличное расположение, приятный и вежливый персонал, встерчает гостей красивый попугай)) Номер отличный с хорошим санузлом! можно понежится в ванной, что поможет снять усталость после дороги)) в минибаре вода и вкусняшки по хорошей цене (не переплатите в тридорога)",,10.0,10.0,u-anity.uk.html,"Відмінне розташування, приємний і ввічливий персонал, ...","Відмінне розташування, приємний і ввічливий персонал, встречаются гостей красивий папуга) ) Номер відмінний з хорошим санвузлом! можна поніжитися у ванній, що допоможе зняти втому після дороги) ) в міні-бар вода і ласощі за хорошою ціною (не переплатив в втридорога )",Nan
К клиентам надо внимательно относится,,Завтрака вообще не было Отель уведомил о позднем прибытии (после 22-00) и о раннем выезде (до 8-00)  Оплату взяли как за проживание так и за завтрак которого не было  При поселении двери оказались закрыты и долго пришлось ждать  На рецепшене попросил заказать на 7-15 такси  никто не заказал и только после напоминания утром вызвали такси которое приехало быстро,4.2,10.0,u-anity.uk.html,До клієнтів треба уважно ставиться,Nan,Сніданку взагалі не було Готель повідомив про пізньому прибуття (після 22-00) і про ранній виїзді (до 8-00) Оплату взяли як за проживання так і за сніданок якого не було При поселенні двері виявилися зачиненими і довго довелося чекати На ресепшені попросив замовити на 7-15 таксі ніхто не замовив і тільки після нагадування вранці викликали таксі яке приїхало швидко
Расположение хорошее - десять минут до центра города.,Расположение хорошее - десять минут до центра города. Легко доехать с окружной - можно не заезжать в центр. Есть парковка. В номере вся нужная техника есть(хоть и немного уставшая и подгулявшая),"старомодный дизайн в стиле ""дорогобохато-пшонка-стайл"", много комаров в номере, продавленая кровать, не очень чистый душ.",7.1,10.0,u-anity.uk.html,Розташування хороше - десять хвилин до центру міста.,Розташування хороше - десять хвилин до центру міста. Легко доїхати з окружної - можна не заїжджати в центр. Є парковка. У номері вся потрібна техніка є (хоч і трохи втомлена і підпилий),"старомодний дизайн в стилі & quota; Дорогобужа - Пшонка - стайл & quota;, багато комарів в номері, подавлені ліжко, не дуже чистий душ."
Очень близко к центру города.,Очень близко к центру города. Хороший завтрак и доброжелательный персонал.,"Убитая душевая кабина. Вернувшись в отель в половину первого ночи, 10 минут не мог достучаться, что бы открыли...",6.7,10.0,u-anity.uk.html,Дуже близько до центру міста.,Дуже близько до центру міста. Хороший сніданок і доброзичливий персонал.,"Убита душова кабіна. Повернувшись в готель о пів на першу ночі, 10 хвилин не міг достукатися, що б відкрили ..."
"Безупречна работа девочек на рецепции, особенно Даны- обо...","Безупречна работа девочек на рецепции, особенно Даны- обо всем расскажут и помогут. Супер расположение - самый центр, закрытый двор для стоянки, хорошее белье","Нужен, конечно, ремонт в отеле, но тогда, как я понимаю, повысится цена. При очень неплохом кафе ( интерьер, хорошие цены и внимательная официантка вкупе с неплохим выбором для завтрака) само качество приготовления завтрака оставляет желать лучшего ( старое масло, на котором жарится омлет- отмечаю не только я)",6.7,10.0,u-anity.uk.html,"Бездоганна робота дівчаток на рецепції, особливо Дани- про ...","Бездоганна робота дівчаток на рецепції, особливо Дани- про все розкажуть і допоможуть. Супер розташування - самий центр, закритий двір для стоянки, гарне білизна","Потрібен, звичайно, ремонт в готелі, але тоді, як я розумію, підвищиться ціна. При дуже непоганому кафе (інтер&#39;єр, хороші ціни і уважна офіціантка укупі з непоганим вибором для сніданку) сама якість приготування сніданку залишає бажати кращого (старе масло, на якому смажиться омлет- відзначаю не тільки я)"
"Очень приветливый персонал и хорошие номера, но от совка надо избавляться","Есть дворик для парковки, лужайка с зеленой травой. На территории есть небольшой ресторанчик. Очень удобно прогуливаться к центру.",Ковры в номерах надо убрать и сжечь,9.6,10.0,u-anity.uk.html,"Дуже привітний персонал і хороші номери, але від совка треба позбавлятися","Є дворик для парковки, галявина із зеленою травою. На території є невеликий ресторанчик. Дуже зручно прогулюватися до центру.",Килими в номерах треба прибрати і спалити
Удобное место расположение в центре.,Девушка на рецепции просто умничка! Удобная кровать и чистое белье. Парковка. Завтрак.,Пятна на ковре и дырки от окурков на шторах. Штора в качестве покрывала на кровати.,7.1,10.0,u-anity.uk.html,Зручне місце розташування в центрі.,Дівчина на рецепції просто розумника! Зручне ліжко і чисту білизну . Парковка . Сніданок.,Плями на килимі і дірки від недопалків на Штора . Штора як покривала на ліжка.
"Постельное белье, да и в общем постель, полотенца-все...","Постельное белье, да и в общем постель, полотенца-все идеально чистое. 
Персонал 24/7 на связи. Нужна была прачечная-помогли) 
Включен завтрак. 
Тихо и уютно.","Отсутствие одноразовых тапочек и мини-средств для гигиены. 
Очень грязный ковер. Не все лампы в номере работают.",7.5,10.0,u-anity.uk.html,"Постільна білизна, та й загалом постіль, рушники-все ...","Постільна білизна, та й загалом постіль, рушники-все ідеально чисте. Персонал 24/7 на зв&#39;язку. Потрібна була пральня-допомогли) Включений сніданок. Тихо і затишно.",Відсутність одноразових капців і міні-засобів для гігієни. Дуже брудний килим. Не всі лампи в номері працюють.
Территориально очень удобно расположен - рукой подать до...,"Территориально очень удобно расположен - рукой подать до исторического центра. Номер отличный, персонал внимательный, отзывчивый. чисто, аккуратно.",Фен в номер. Улучшить и разнообразить завтраки.,8.8,10.0,u-anity.uk.html,Територіально дуже зручно розташований - недалеко ходити до ...,"Територіально дуже зручно розташований - рукою подати до історичного центру. Номер відмінний, персонал уважний, чуйний. чисто, акуратно.",Фен в номер. Поліпшити і урізноманітнити сніданки.
"Отличное расположение практически в центре города, есть...","Отличное расположение практически в центре города, есть внутренний двор с парковкой. Достаточно приветливый персонал.","Гостиница и номера внутри выглядят уставшими. Когда только зашёл в номер был немного расстроен но потом привык и вроде нормально. Остаётся двоякое ощущение от номера вроде и чисто и вроде как не очень, я думаю дело в напольном покрытии, ковролин не самый удачный вариант и на нем видно следы прибывания прошлых гостей. Полотенца и постель были чистые, тут не было проблем.",7.1,10.0,u-anity.uk.html,"Відмінне розташування практично в центрі міста, є ...","Відмінне розташування практично в центрі міста, є внутрішній двір з парковкою. Досить привітний персонал.","Готель і номера всередині виглядають втомленими . Коли тільки зайшов в номер був трохи засмучений але потім звик і ніби нормально . Залишається двояке відчуття від номера на зразок і чисто і ніби як не дуже, я думаю справа в підлогові покриття, ковролін не найвдаліший варіант і на ньому видно сліди перебування минулих гостей . Рушники та постіль були чисті, тут не було проблем."
Большой просторный номер.,"Большой просторный номер. Есть парковка для авто во дворе дома, мангал. Завтрак включен в стоимость. В целом отличное место для транзитной  остановки.","Ковролин в пятнах и стены грязные. Пластиковые окна от старости плотно не закрывались, а рядом проходит дорога.",7.9,10.0,u-anity.uk.html,Великий просторий номер.,"Великий просторий номер. Є парковка для авто у дворі будинку, мангал. Сніданок включений у вартість. В цілому відмінне місце для транзитної зупинки.","Ковролін в плямах і стіни брудні. Пластикові вікна від старості щільно не зачинялися, а поруч проходить дорога."
Привет из 90х,"Чудесные администраторы на стойке регистрации. Они не виноваты, что этот отель полное г...но.",Грязные совдеповские номера. Ковры с пятнами грязи. Убогая мебель. Все это давно пора на свалку.,4.2,10.0,u-anity.uk.html,Привіт з 90-х,"Чудові адміністратори на стійці реєстрації. Вони не винні, що цей готель повне г ... но.",Брудні суддівські номера . Килими з плямами бруду . убога меблі . Все це давно пора на звалище.
Завтрак включен и он вкусный(дают выбрать что хочешь) в...,"Завтрак включен и он вкусный(дают выбрать что хочешь) в завтрак входит например кофе,яичница с беконом,тосты с маслом, и стакан сока на выбор.Как по мне более чем. Персонал приветливый. Номер огромный с ванной комнатой с большой ванной.",Единственное это то что нужно иметь с собой тапочки.,9.2,10.0,u-anity.uk.html,Сніданок включений і він смачний (дають вибрати що хочеш) в ...,"Сніданок включений і він смачний (дають вибрати що хочеш) в сніданок входить наприклад кава, яєчня з беконом, тости з маслом, і стакан соку на вибори . Как на мене більш ніж . Персонал привітний . Номер величезний з ванною кімнатою з великою ванною.",Єдине це те що потрібно мати з собою тапочки.
В целом хорошо,"Отличный завтрак, удачное расположение, просторный номер","Были проблемы с отоплением, но персонал очень быстро все исправил. Все в рабочем состоянии, но пора задуматься о ремонте",8.3,10.0,u-anity.uk.html,В цілому добре,"Відмінний сніданок, вдале розташування, просторий номер","Були проблеми з опаленням, але персонал дуже швидко все виправив. Все в робочому стані, але пора задуматися про ремонт"
Расположение( рядом от трассы и от центра города),Расположение( рядом от трассы и от центра города),"Кухня(еда приготовлена ужасно, а цена явно завышена), затяганный и грязный ковролин на полу в номере.",7.1,10.0,u-anity.uk.html,Розташування (поруч від траси і від центру міста),Розташування (поруч від траси і від центру міста),"Кухня (їжа приготовлена жахливо, а ціна явно завищена), затягати і брудний ковролін на підлозі в номері."
"Просторный номер, чисто.","Просторный номер, чисто.","Нам обещали завтрак в 8-15, а утром сказали что завтрак будет только в 10-00. Это время нам никак не подходило, в итоге мы остались без завтрака.",5.0,10.0,u-anity.uk.html,"Просторий номер, чисто.","Просторий номер, чисто.","Нам обіцяли сніданок в 8-15, а вранці сказали що сніданок буде тільки в 10-00. Це час нам ніяк не підходило, в результаті ми залишилися без сніданку."
Хорошее расположение,В номере комфортно разместилась вся семья- двое взрослых и двое детей.,"Питание -лучше отказаться! Отвратительно! Из всего заказанного- куриный бульон, деруны, салат Цезарь, даже блинчики - были не съедобными. Плохое самочувствие гарантировано.",5.8,10.0,u-anity.uk.html,гарне розташування,У номері комфортно розмістилася вся сім&#39;я-двоє дорослих і двоє дітей.,"Харчування - краще відмовитися! Огидно! З усього указанного - курячий бульйон, деруни, салат Цезар, навіть млинці - були їстівними . Погане самопочуття гарантовано."
"Удачное месторасположение, но есть недостатки: холодно и плохое качество ТВ и интернета","1) Удачное расположение отеля, находится в 5-10 минутах ходьбы от Старого Города и Ужгородского Замка 2) заселение возможно ранее указанного времени при наличии свободного номера","1) в номере было холодно, первый день батарея вообще была холодная, кондиционер не работал в режиме обогрева (на улице была плюсовая температура и теоретически воспользоваться им можно было) 2) ТВ работало только, если поставить тюнер в определенном положении! 3) wi-fi не работал первый день! 4) девушкам с ресепшна в 12:00 при заселении были озвучены проблемы, связанные с отоплением, интернетом и ТВ, но к вечеру ничего не было устранено. В итоге поздно вечером после скандала ночной дежурный менеджер Олег решил все вопросы в течении 15 минут, отдельная благодарность ему, в отличии от его дневных коллег! 4) завтраки чересчур жирные, чувстовался ярко выраженный вкус подсолнечного масла( 5) в перечне включенных в стоимость услуг на сайте Booking была вода и шоколадка или печенье, но в итоге девушки с ресепшна взяли плату за выпитую бутылку воды, сказали, что в Booking неправильная информация)))",6.3,10.0,u-anity.uk.html,"Вдале розташування, але є недоліки: холодно і погана якість ТБ і інтернету","1) Вдале розташування готелю, знаходиться в 5-10 хвилинах ходьби від Старого Міста та Ужгородського Замку 2) заселення можливо раніше зазначеного часу при наявності вільного номера","1) в номері було холодно, перший день батарея взагалі була холодна, кондиціонер не працював в режимі обігріву (на вулиці була плюсова температура і теоретично скористатися ним можна було) 2) ТВ працювало тільки, якщо поставити тюнер в певному положенні! 3) wi - fi не працював перший день! 4) дівчатам з ресепшн о 12 : 00 при заселенні були озвучені проблеми, пов & #39; язані з опаленням, інтернетом і ТБ, але до вечора нічого не було усунуто . В результаті пізно ввечері після скандалу нічний черговий менеджер Олег вирішив всі питання протягом 15 хвилин, окрема подяка йому, на відміну від його денних колег! 4) сніданки надто жирні, чувствовать яскраво виражений смак соняшникової олії (5) в переліку включених до вартості послуг на сайті Booking була вода і шоколадка або печиво, але в підсумку дівчата з ресепшн взяли плату за випитує пляшку води, сказали, що в Booking неправильна інформація) ) )"
Вместо отдыха получили нервы,"Распоряжение хорошее, завтрак приличный.","В номере не работало отопление, телевизор и кондиционер. На просьбу решить эти проблемы администратор сказала, что скоро приедет завхоз и попытается что-то сделать. Он действительно приехал. К 20.00 отопление заработало (заселились мы в 16.00). Телевизор тоже показывал, но недолго. Вместо того, чтобы отдохнуть после дороги мы потратили кучу нервов. А в ответ услышали: всё бывает.",6.7,10.0,u-anity.uk.html,Замість відпочинку отримали нерви,"Розпорядження хороше, сніданок пристойний.","У номері не працювало опалення, телевізор і кондиціонер. На прохання вирішити ці проблеми адміністратор сказала, що скоро приїде завгосп і спробує щось зробити. Він дійсно приїхав. До 20.00 опалення запрацювало (заселилися ми в 16.00). Телевізор теж показував, але недовго. Замість того, щоб відпочити після дороги ми витратили купу нервів. А у відповідь почули: все буває."
Спокойное место недалеко от центра.,"Спокойное место недалеко от центра. Есть внутренний двор, где можно запарковать машину. Нормальное соотношение цены и качества, особенно если останавливаться на несколько дней.","Был поздний заезд, после 23:00. Дверь на рецепцию была закрыта и  никого не было. Пришлось искать и будить администратора.  Не смог включить телевизор, похоже из-за севших батареек.",7.9,10.0,u-anity.uk.html,Спокійне місце недалеко від центру.,"Спокійне місце недалеко від центру. Є внутрішній двір, де можна припаркувати машину. Нормальне співвідношення ціни і якості, особливо якщо зупинятися на кілька днів.","Був пізній заїзд, після 23:00. Двері на рецепцію була закрита і нікого не було. Довелося шукати і будити адміністратора. Не зміг включити телевізор, схоже через сіли батарейок."
"Отличное расположение, до основных достопримечательностей 10...","Отличное расположение, до основных достопримечательностей 10 минут медленным шагом. Но в тоже время тихо, нет шума и суеты. Сытный завтрак. Для транзитных путешественников переночевать одну ночь— то что надо. Тем более за такую небольшую цену.","В ванной не очень хорошо работает вытяжка, есть запах сырости. Необходимо просто почистить вентиляционную решетку",8.3,10.0,u-anity.uk.html,"Відмінне розташування, до основних визначних пам&#39;яток 10 ...","Відмінне розташування, до основних визначних пам&#39;яток 10 хвилин повільним кроком. Але в той же час тихо, немає шуму і суєти. Ситний сніданок. Для транзитних мандрівників переночувати одну ніч-то що треба. Тим більше за таку невелику ціну.","У ванній не дуже добре працює витяжка, є запах вогкості. Необхідно просто почистити вентиляційну решітку"
Цена довольно низкая.,"Цена довольно низкая. Бесплатный нормальный завтрак: можно выбрать яичницу с чем-то, блины с начинкой и что-то еще. Находится в самом центре.","Номер очень грязный, отклеившиеся обои, старый телевизор, два неработающих светильника над кроватью. Нет сеток на окнах, хотя мошек залетает много. Перед отъездом встретился таракан.",5.8,10.0,u-anity.uk.html,Ціна досить низька.,"Ціна досить низька. Безкоштовний нормальний сніданок: можна вибрати яєчню з чимось, млинці з начинкою і щось ще. Знаходиться в самому центрі.","Номер дуже брудний, відклалися шпалери, старий телевізор, два непрацюючих світильника над ліжком . Немає сіток на вікнах, хоча мошок залітає багато . Перед від & #39; їздом зустрівся тарган."
"Очень лояльное отношение к постояльцам, если номер уже убран...","Очень лояльное отношение к постояльцам, если номер уже убран, предидущие гости выехали, то заселяют раньше. Тоже и с выездом - в шею не гонят. Вещи до и после оставить пожалуйста, подскажут где что находится. Минибар очень недорогой - маленький сникерс 14 грн. В магазинах дороже покупал.","Кое-где под потолком паутину уборщица пропустила, но в целом всё убрано, вымыто.",9.6,10.0,u-anity.uk.html,"Дуже лояльне ставлення до постояльців, якщо номер уже прибраний ...","Дуже лояльне ставлення до постояльців, якщо номер уже прибраний, предыдущие гості виїхали, то заселяють раніше . Теж і з виїздом - в шию не гонять . Речі до і після залишити будь ласка, підкажуть де що знаходиться . Міні - бар дуже недорогий - маленький снікерси 14 грн . У магазинах дорожче купував.","Подекуди під стелею павутиння прибиральниця пропустила, але в цілому все прибрано, вимито."
"Хороший отель, в самом центре города, уютные номера.","Хороший отель, в самом центре города, уютные номера. Фото соответствует действительности. Приветливый персонал, оказали помощь в вызове такси ранним утром. На территории отеля есть кафе, с вкусной недорогой домашней едой. Рекомендую для проживания.",,10.0,10.0,u-anity.uk.html,"Хороший готель, в самому центрі міста, затишні номери.","Хороший готель, в самому центрі міста, затишні номери. Фото відповідає дійсності. Привітний персонал, надали допомогу у виклику таксі рано вранці. На території готелю є кафе, зі смачною недорогий домашньою їжею. Рекомендую для проживання.",Nan
Большой номер на втором этаже.,"Большой номер на втором этаже. Огромная ванна, неплохой завтрак. Бесплатная парковка.","Номер начинает ""уставать"" . На ковролине есть пятна, окна закрываются с некоторым трудом. В сущности это все мелочи, но все же. 
Огромный брелок на ключах, который не снимается.",8.8,10.0,u-anity.uk.html,Великий номер на другому поверсі.,"Великий номер на другому поверсі. Величезна ванна, непоганий сніданок. Безкоштовна парковка.","Номер починає & quota; втомлюватися & quota; . На ковролін є плями, вікна закриваються з деякими труднощами . По суті це все дрібниці, але все ж . Величезний брелок на ключах, який не знімається."
Отель недалеко от окружной и старого города.,Отель недалеко от окружной и старого города. Относительно недорого... Чисто.,"Уставший интерьер, раздолбанная сантехника... И очень агрессивные красные расцветки",8.8,10.0,u-anity.uk.html,Готель недалеко від окружної та старого міста.,Готель недалеко від окружної та старого міста. Відносно недорого ... Чисто.,"Втомлений інтер & #39; єр, нездоланна сантехніка...І дуже агресивні червоні кольори"
Все было супер!,"Все было супер! Кухня прекрасная, большой выбор блюд,  все очень вкусно и не дорого. Отель рядом с центром города. Очень удобно для прогулок.",Такого нет.,10.0,10.0,u-anity.uk.html,Все було супер!,"Все було супер! Кухня прекрасна, великий вибір страв, все дуже смачно і не дорого. Готель поруч з центром міста. Дуже зручно для прогулянок.",Такого немає.
